MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
CREV21115375,588 Leafy LN ,Crestline,92325,San Bernardino,3,565,4500,86,1,2,1,0,0,2021,2021,237000,237000,5/28/2021 0:00,5/28/2021 0:00,1935
ME221053524,14399 Tim Burr LN ,Grass Valley,95945,Nevada,27,1938,22216,56,2,3,2,0,9,2021,2021,695000,725000,5/19/2021 0:00,5/28/2021 0:00,1965
ME221050890,5148 Linda Lou Drive ,Carmichael,95608,Sacramento,4,1456,6970,37,2,3,2,0,3,2021,2021,475000,548000,5/19/2021 0:00,5/22/2021 0:00,1984
ML81844669,1523 San Andreas AVE ,San Jose,95118,Santa Clara,7,1144,5822,67,2,3,2,0,8,2021,2021,1199000,1335555,5/19/2021 0:00,5/27/2021 0:00,1954
CRSN21105110,4255 Stable LN ,Chico,95973,Butte,11,1729,34412,41,2,3,2,0,6,2021,2021,569900,580000,5/17/2021 0:00,5/23/2021 0:00,1980
CRPW21106375,2717 E Palmyra AVE ,Orange,92869,Orange,2,1814,7850,58,2,3,2,0,5,2021,2021,825000,885000,5/18/2021 0:00,5/23/2021 0:00,1963
ME221055681,1142 Elderwood DR ,Galt,95632,Sacramento,4,1218,6499,23,2,3,2,0,3,2021,2021,425000,450000,5/21/2021 0:00,5/24/2021 0:00,1998
EB40951076,1331 Elm St ,El Cerrito,94530,Contra Costa,6,951,3700,73,1,2,1,0,0,2021,2021,900000,900000,5/21/2021 0:00,5/21/2021 0:00,1948
ML81845593,1563 Piedmont RD ,San Jose,95132,Santa Clara,7,1811,6552,48,2,5,2,0,0,2021,2021,1000000,1000000,5/24/2021 0:00,5/24/2021 0:00,1973
CROC21117827,40158 Stowe RD ,Temecula,92591,Riverside,1,2250,4356,18,3,4,2,1,0,2021,2021,775000,775000,4/21/2021 0:00,4/21/2021 0:00,2003
CRNDP2105763,1867 Avenida Mimosa ,Encinitas,92024,San Diego,5,2167,6333,36,3,4,2,1,6,2021,2021,1099000,1392500,5/24/2021 0:00,5/30/2021 0:00,1985
CRPW21107728,8569 El Rio AVE ,Fountain Valley,92708,Orange,2,1435,7200,56,3,3,2,1,6,2021,2021,825000,875000,5/20/2021 0:00,5/26/2021 0:00,1965
