MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,Age,BathsTotal,BedsTotal,BathsFull,BathsHalf,DOM,Year_List,Year_Sold,List_Price,Sale_Price,Listing_Date,Sale_Date,Year_Built
CNSR21108049,11937 Calle Vista CT ,,91326,Los Angeles,0,2258,9344,45,2,4,1,1,6,2021,2021,1250000,1300000,5/19/2021 0:00,5/25/2021 0:00,1976
BA321041792,4309 Fistor DR ,Santa Rosa,95409,Sonoma,20,1930,6595,22,2,3,2,0,8,2021,2021,779000,860000,5/17/2021 0:00,5/25/2021 0:00,1999
CC40950397,1126 Peacock Creek Drive ,Clayton,94517,Contra Costa,6,3820,11691,25,3,4,2,1,2,2021,2021,1425000,1620000,5/21/2021 0:00,5/23/2021 0:00,1996
CRNDP2105846,621 N Horne ST ,Oceanside,92054,San Diego,5,1050,5227.2,91,1,3,1,0,7,2021,2021,979000,979000,5/23/2021 0:00,5/30/2021 0:00,1930
CRPW21082753,5629 E Avenida De Vientos ,Anaheim,92807,Orange,2,1012,1414,49,2,2,1,1,0,2021,2021,550000,550000,4/18/2021 0:00,4/18/2021 0:00,1972
CNSR21106128,1637 N Buena Vista ST ,Burbank,91505,Los Angeles,0,1253,6365,82,2,3,2,0,8,2021,2021,875000,926000,5/18/2021 0:00,5/26/2021 0:00,1939
CRNDP2105434,7586 Dehesa  Court ,Carlsbad,92009,San Diego,5,1453,228690,42,2,3,2,0,26,2021,2021,899000,1080000,4/29/2021 0:00,5/25/2021 0:00,1979
ME221035316,2619 Regatta LN ,Davis,95618,Yolo,26,3754,11761,28,4,4,3,1,6,2021,2021,1599000,1727000,5/21/2021 0:00,5/27/2021 0:00,1993
ME202002238,1233 Rice AVE ,Richvale,95974,Butte,11,1481,16988,92,1,3,1,0,42,2020,2020,210000,205000,7/30/2020 0:00,9/10/2020 0:00,1929
CRFR21109447,2051 Robin Hood LN ,Merced,95340,Merced,22,2317,8411,19,2,3,2,0,15,2021,2021,549000,545000,5/9/2021 0:00,5/24/2021 0:00,2002
ME221057117,854 Round Hill DR ,Merced,95348,Merced,22,2334,6578,15,3,4,2,1,2,2021,2021,445000,465000,5/25/2021 0:00,5/27/2021 0:00,2006
ML81844970,1435 Floyd AVE ,Sunnyvale,94087,Santa Clara,7,1955,7703,61,3,4,2,1,7,2021,2021,2298000,3100000,5/20/2021 0:00,5/27/2021 0:00,1960
ML81844251,3121 South CT ,Palo Alto,94306,Santa Clara,7,2820,10960,69,4,4,3,1,2,2021,2021,4798000,4850000,5/17/2021 0:00,5/19/2021 0:00,1952
ME221056045,5421 Rockwell RD ,North Highlands,95660,Sacramento,4,1025,5227,67,1,3,1,0,5,2021,2021,340000,350000,5/21/2021 0:00,5/26/2021 0:00,1954
CROC21098011,29 San Raphael ,Dana Point,92629,Orange,2,2558,6320,32,3,3,3,0,7,2021,2021,2299950,2299900,5/17/2021 0:00,5/24/2021 0:00,1989
ML81844613,3891 Elston DR ,San Bruno,94066,San Mateo,13,1160,5000,62,2,3,2,0,0,2021,2021,1385000,1385000,5/17/2021 0:00,5/17/2021 0:00,1959
CRSW21093226,37952 Honey Pine RD ,Murrieta,92563,Riverside,1,2277,4792,8,3,4,3,0,18,2021,2021,540000,585000,5/8/2021 0:00,5/26/2021 0:00,2013
TM21-731738,438 Robinwood DR ,Los Angeles,90049,Los Angeles,0,3900,9289,0,6,5,5,1,9,2021,2021,4695000,4700000,5/17/2021 0:00,5/26/2021 0:00,2021
CRSW21108426,2240 N San Gorgonio RD ,Palm Springs,92262,Riverside,1,1260,10454,42,2,3,2,0,8,2021,2021,774900,765000,5/20/2021 0:00,5/28/2021 0:00,1979
CROC21104609,513 Pecan AVE ,Huntington Beach,92648,Orange,2,2412,2938,21,4,3,3,1,5,2021,2021,1695000,1750000,5/17/2021 0:00,5/22/2021 0:00,2000
CRIV21095523,1565 1st ST ,Norco,92860,Riverside,1,2403,21780,35,3,3,2,1,20,2021,2021,750000,759000,5/4/2021 0:00,5/24/2021 0:00,1986
CRNDP2105864,1891 Centennial WAY ,Escondido,92026,San Diego,5,2329,6277,26,3,5,3,0,2,2021,2021,775000,800000,5/24/2021 0:00,5/26/2021 0:00,1995
CREV21099807,3064 La Habra AVE ,Hemet,92545,Riverside,1,1216,3485,32,2,2,2,0,1,2021,2021,269500,275000,5/25/2021 0:00,5/26/2021 0:00,1989
ME221052815,134 Adaire LN ,Tracy,95377,San Joaquin,10,2652,9065,20,3,5,3,0,7,2021,2021,858888,980000,5/20/2021 0:00,5/27/2021 0:00,2001
ME221053574,303 W Tuscan LN ,Mountain House,95391,San Joaquin,10,1867,4818,8,3,3,2,1,6,2021,2021,745000,800000,5/20/2021 0:00,5/26/2021 0:00,2013
ME202002534,2592 Dewberry ,Redding,96003,Shasta,37,1315,7841,23,2,3,2,0,1,2020,2020,299000,314000,8/24/2020 0:00,8/25/2020 0:00,1998
EB40949537,711 Central Park Pl ,Brentwood,94513,Contra Costa,6,1519,5100,25,2,2,2,0,6,2021,2021,540000,575000,5/24/2021 0:00,5/30/2021 0:00,1996
ML81844904,2237 Wexford AVE ,South San Francisco,94080,San Mateo,13,2500,6000,53,3,5,3,0,8,2021,2021,1450000,1690000,5/20/2021 0:00,5/28/2021 0:00,1968
CRNDP2106147,5527 Calumet AVE ,La Jolla,92037,San Diego,5,2972,4993,59,5,5,4,1,109,2021,2021,5565000,5200000,2/8/2021 0:00,5/28/2021 0:00,1962
ME221044962,611 Packard Dr. ,Grass Valley,95945,Nevada,27,1270,6058,47,2,3,2,0,5,2021,2021,510000,510000,5/21/2021 0:00,5/26/2021 0:00,1974
ME221058026,39340 Kearsarge Mill RD ,Alta,95701,Placer,9,3853,448668,18,4,3,4,0,139,2020,2021,899000,850000,12/29/2020 0:00,5/17/2021 0:00,2003
CC40950605,85 Wildcat Way ,Clayton,94517,Contra Costa,6,3454,11960,26,4,5,3,1,7,2021,2021,1250000,1400000,5/19/2021 0:00,5/26/2021 0:00,1995
CRSB21108145,1500 Carver ST ,Redondo Beach,90278,Los Angeles,0,1536,4011,41,3,3,2,1,7,2021,2021,1250000,1360000,5/19/2021 0:00,5/26/2021 0:00,1980
ME221055475,614 Mill Place ,Jackson,95642,Amador,34,1495,6098,33,2,3,2,0,3,2021,2021,465000,465000,5/21/2021 0:00,5/24/2021 0:00,1988
ME221041441,1672 Andover LN ,Lincoln,95648,Placer,9,1161,5924,21,2,2,2,0,6,2021,2021,440000,505000,5/19/2021 0:00,5/25/2021 0:00,2000
CREV21106518,319 Sunset DR ,Lake Arrowhead,92352,San Bernardino,3,1514,9500,85,1,3,1,0,2,2021,2021,699000,715000,5/18/2021 0:00,5/20/2021 0:00,1936
CNSR21105860,5712 Colbath AVE ,Van Nuys,91401,Los Angeles,0,1879,6751,72,2,3,2,0,10,2021,2021,1099000,1170000,5/17/2021 0:00,5/27/2021 0:00,1949
CRV1-5640,3124 Entrada DR ,Ventura,93003,Ventura,17,1293,5600,66,1,4,1,0,17,2021,2021,875000,875000,5/7/2021 0:00,5/24/2021 0:00,1955
ME221058271,6557 Nicholas DR ,Winton,95388,Merced,22,1475,6321,16,2,3,2,0,1,2021,2021,315000,310000,5/26/2021 0:00,5/27/2021 0:00,2005
CRIG21098473,16102 Feltham CIR ,Westminster,92683,Orange,2,1612,6000,44,2,3,2,0,17,2021,2021,939000,940000,5/7/2021 0:00,5/24/2021 0:00,1977
CRSN21104782,1528 Boucher ST ,Chico,95928,Butte,11,1460,6534,75,2,2,2,0,27,2021,2021,349500,359500,4/30/2021 0:00,5/27/2021 0:00,1946
BA321042674,806 Elderberry LOOP ,Vacaville,95688,Solano,16,2788,11413,14,3,4,3,0,7,2021,2021,850000,863000,5/19/2021 0:00,5/26/2021 0:00,2007
CRSN21109247,10086 Jones AVE ,Durham,95938,Butte,11,1272,20038,56,2,3,2,0,4,2021,2021,389000,420000,5/21/2021 0:00,5/25/2021 0:00,1965
CC40950379,18 Reliez Valley Ct ,Lafayette,94549,Contra Costa,6,2897,28000,43,4,4,2,2,7,2021,2021,1795000,1900000,5/18/2021 0:00,5/25/2021 0:00,1978
CRSW21100226,24593 New Haven DR ,Murrieta,92562,Riverside,1,1282,5667,34,2,3,2,0,20,2021,2021,459900,490000,5/8/2021 0:00,5/28/2021 0:00,1987
ML81845408,10371 Westacres DR ,Cupertino,95014,Santa Clara,7,1705,7800,61,2,4,2,0,5,2021,2021,2490000,3000000,5/22/2021 0:00,5/27/2021 0:00,1960
CRRS21108798,13044 Hedda LN ,Cerritos,90703,Los Angeles,0,3578,7036,50,5,6,4,1,7,2021,2021,1485000,1485000,5/20/2021 0:00,5/27/2021 0:00,1971
CC40951307,255 Donald Dr ,Moraga,94556,Contra Costa,6,2486,91000,35,2,3,2,0,0,2021,2021,1632000,1632000,5/24/2021 0:00,5/24/2021 0:00,1986
CNSR21098606,38425 Cougar ,Palmdale,93551,Los Angeles,0,1871,8417,26,3,4,2,1,1,2021,2021,470000,515000,5/20/2021 0:00,5/21/2021 0:00,1995
CRRS21100038,2845 Hackett AVE ,Long Beach,90815,Los Angeles,0,1617,5290,70,2,3,2,0,0,2021,2021,980000,980000,5/17/2021 0:00,5/17/2021 0:00,1951
CRIV21106346,1380 Cadwell CT ,Riverside,92506,Riverside,1,2012,10454,49,1,4,1,0,58,2021,2021,580000,612000,4/1/2021 0:00,5/29/2021 0:00,1972
ME221053081,8250 Point Arena CT ,Sacramento,95828,Sacramento,4,1343,5306,28,2,2,2,0,2,2021,2021,390000,439500,5/22/2021 0:00,5/24/2021 0:00,1993
BA321057730,1505 S Dora ST ,Ukiah,95482,Mendocino,35,1209,7000,35,1,3,1,0,14,2021,2021,457000,457000,5/7/2021 0:00,5/21/2021 0:00,1986
ME221056501,1781 Audubon Hill PL ,Lincoln,95648,Placer,9,1935,8925,16,2,2,2,0,3,2021,2021,659000,695000,5/23/2021 0:00,5/26/2021 0:00,2005
CROC21112126,25601 Hazelnut LN ,Lake Forest,92630,Orange,2,2388,6042,44,3,4,3,0,5,2021,2021,1089000,1160000,5/25/2021 0:00,5/30/2021 0:00,1977
CNSR21111989,1637 Renee ST ,Lancaster,93535,Los Angeles,0,1303,6390,33,3,3,3,0,31,2021,2021,348888,360000,4/24/2021 0:00,5/25/2021 0:00,1988
ME221055876,1705 Loreto CT ,Modesto,95355,Stanislaus,12,1194,12040,48,2,4,1,1,4,2021,2021,380000,400000,5/21/2021 0:00,5/25/2021 0:00,1973
ML81844605,1185 Lerwick CT ,Sunnyvale,94087,Santa Clara,7,2032,9219,66,2,3,2,0,7,2021,2021,1898000,2110000,5/19/2021 0:00,5/26/2021 0:00,1955
ME221055500,973 Friguglietti ,Los Banos,93635,Merced,22,1191,6037,22,2,3,2,0,8,2021,2021,369900,388000,5/20/2021 0:00,5/28/2021 0:00,1999
CROC21105712,309 Camino De La Luna ,Perris,92571,Riverside,1,2360,4792,18,3,5,3,0,7,2021,2021,460000,509000,5/17/2021 0:00,5/24/2021 0:00,2003
CRSW21111990,29401 Cottage CT ,Menifee,92584,Riverside,1,2050,7841,11,3,4,2,1,1,2021,2021,499900,500000,5/24/2021 0:00,5/25/2021 0:00,2010
ME221053229,9024 Pinto Canyon WAY ,Roseville,95747,Placer,9,1894,6155,21,2,4,2,0,6,2021,2021,575000,622000,5/18/2021 0:00,5/24/2021 0:00,2000
TM21-733444,1686 W Andes DR ,Upland,91784,San Bernardino,3,2337,7100,21,3,4,3,0,9,2021,2021,729999,840000,5/18/2021 0:00,5/27/2021 0:00,2000
EB40950824,5120 Pawnee Dr ,Antioch,94531,Contra Costa,6,1382,6900,29,3,3,2,1,9,2021,2021,589900,615000,5/20/2021 0:00,5/29/2021 0:00,1992
CC40950808,918 Raintree Pl ,Lafayette,94549,Contra Costa,6,3672,55708,2,5,4,4,1,6,2021,2021,3795000,3800000,5/20/2021 0:00,5/26/2021 0:00,2019
CRNDP2105190,142 Unity LN ,San Marcos,92078,San Diego,5,3009,29189,3,4,5,3,1,14,2021,2021,1049800,1050000,5/11/2021 0:00,5/25/2021 0:00,2018
BE40950301,31316 Santa Cruz ,Union City,94587,Alameda,8,1396,5928,51,2,3,2,0,9,2021,2021,1049000,1263000,5/17/2021 0:00,5/26/2021 0:00,1970
ME202100583,395 Hazel ST ,Gridley,95948,Butte,11,2072,4356,109,2,5,2,0,10,2021,2021,309000,300000,3/8/2021 0:00,3/18/2021 0:00,1912
CROC21106752,25727 Admiralty CT ,San Juan Capistrano,92675,Orange,2,1417,3362,45,2,3,2,0,0,2021,2021,625000,625000,5/17/2021 0:00,5/17/2021 0:00,1976
CNSR21108623,8336 Redwood BLVD ,California City,93505,Kern,32,1823,9818,15,2,3,2,0,6,2021,2021,280000,315000,5/19/2021 0:00,5/25/2021 0:00,2006
TM21-733778,1740 Licho WAY ,Oxnard,93030,Ventura,17,1544,3640,22,3,3,2,1,8,2021,2021,595900,645000,5/18/2021 0:00,5/26/2021 0:00,1999
BA321054281,448 N Washington ST ,Cloverdale,95425,Sonoma,20,1088,5401,68,2,3,2,0,1,2021,2021,515000,515000,3/24/2021 0:00,3/25/2021 0:00,1953
CNSR21102590,9726 Kessler AVE ,Chatsworth,91311,Los Angeles,0,1391,7559,64,2,3,2,0,12,2021,2021,769000,800000,5/12/2021 0:00,5/24/2021 0:00,1957
BE40950883,2030 Park Arroyo Pl ,Hayward,94545,Alameda,8,1738,6020,30,3,3,2,1,5,2021,2021,799000,890000,5/20/2021 0:00,5/25/2021 0:00,1991
ML81845230,15726 Oak Knoll DR ,Los Gatos,95030,Santa Clara,7,3412,18417.17,136,4,4,3,1,0,2021,2021,3937000,4700000,5/24/2021 0:00,5/24/2021 0:00,1885
CROC21033919,20 N Vista De Catalina ,Laguna Beach,92651,Orange,2,3611,7200,52,4,4,3,1,0,2021,2021,4750000,4750000,5/5/2021 0:00,5/5/2021 0:00,1969
CRNDP2105420,8078 Camino Montego ,Carlsbad,92009,San Diego,5,4040,13939.2,18,4,5,4,0,11,2021,2021,1650000,1800000,5/16/2021 0:00,5/27/2021 0:00,2003
CRSW21107092,660 Spring DR ,Cedarpines Park,92322,San Bernardino,3,1940,12400,85,2,3,2,0,7,2021,2021,304990,303500,5/20/2021 0:00,5/27/2021 0:00,1936
ME221053740,233 Torino CT ,Merced,95341,Merced,22,1474,216275400,15,2,3,2,0,5,2021,2021,305000,330000,5/21/2021 0:00,5/26/2021 0:00,2006
ML81845076,1062 Lorne WAY ,Sunnyvale,94087,Santa Clara,7,1414,6319,64,2,3,2,0,6,2021,2021,2000000,2100000,5/21/2021 0:00,5/27/2021 0:00,1957
ME221053474,6005 Shale Rock CT ,Elk Grove,95758,Sacramento,4,2578,7270,31,3,5,3,0,5,2021,2021,590000,690000,5/20/2021 0:00,5/25/2021 0:00,1990
ML81844277,2100 Burlwood DR ,Hollister,95023,San Benito,33,1350,6538,24,2,3,2,0,10,2021,2021,609000,675000,5/17/2021 0:00,5/27/2021 0:00,1997
ML81844968,1300 Versailles DR ,Hollister,95023,San Benito,33,2000,7420,33,3,3,2,1,8,2021,2021,699000,715000,5/20/2021 0:00,5/28/2021 0:00,1988
CRSW21095358,27819 Rosemary ST ,Murrieta,92563,Riverside,1,2684,7405,18,2,4,1,1,19,2021,2021,619000,650000,5/4/2021 0:00,5/23/2021 0:00,2003
CRNP21100316,9437 Carlynn PL ,Tujunga,91042,Los Angeles,0,1709,10396,52,2,4,2,0,17,2021,2021,1050000,1168000,5/11/2021 0:00,5/28/2021 0:00,1969
CC40946718,5523 Belarus St ,Danville,94506,Contra Costa,6,2100,6722,8,2,3,2,0,6,2021,2021,1399900,1621000,5/19/2021 0:00,5/25/2021 0:00,2013
CRNP21101228,9412 Breakwater CIR ,Huntington Beach,92646,Orange,2,2586,5520,52,2,4,2,0,15,2021,2021,1395000,1549121,5/12/2021 0:00,5/27/2021 0:00,1969
CC40950435,3364 Mildred Ln ,Lafayette,94549,Contra Costa,6,1428,10880,67,2,3,2,0,7,2021,2021,1295000,1765000,5/18/2021 0:00,5/25/2021 0:00,1954
CRSW21100209,23753 Morning Glory DR ,Murrieta,92562,Riverside,1,2687,8712,19,3,5,2,1,11,2021,2021,599900,610000,5/17/2021 0:00,5/28/2021 0:00,2002
CROC21107113,17420 Stark AVE ,Cerritos,90703,Los Angeles,0,2352,5241,48,3,4,3,0,9,2021,2021,1079800,1100000,5/19/2021 0:00,5/28/2021 0:00,1973
CNSR21105915,27072 Cherry Willow DR ,Canyon Country,91387,Los Angeles,0,2238,4739,13,3,4,3,0,16,2021,2021,750000,785000,5/8/2021 0:00,5/24/2021 0:00,2008
ME221056578,100 Prospect CT ,Nevada City,95959,Nevada,27,2300,19602,36,3,3,2,1,3,2021,2021,898000,975000,5/24/2021 0:00,5/27/2021 0:00,1985
CRPW21110226,60 Painted Sky ,Irvine,92602,Orange,2,2059,4000,4,3,4,3,0,4,2021,2021,1350000,1350000,5/22/2021 0:00,5/26/2021 0:00,2017
EB40950668,1451 Paradise Ln ,Brentwood,94513,Contra Costa,6,1801,6611,16,2,3,2,0,8,2021,2021,700000,710000,5/19/2021 0:00,5/27/2021 0:00,2005
BA321034948,5021 Rowe DR ,Fairfield,94533,Solano,16,1973,4604,19,3,4,2,1,0,2021,2021,575000,585000,5/17/2021 0:00,5/17/2021 0:00,2002
ME221046395,14296 Tim Burr LN ,Grass Valley,95945,Nevada,27,1399,45738,46,2,3,2,0,0,2021,2021,450000,432000,5/28/2021 0:00,5/28/2021 0:00,1975
CRWS21106042,7348 Berne ST ,Rosemead,91770,Los Angeles,0,2959,6325,27,4,5,4,0,1,2021,2021,780000,780000,5/17/2021 0:00,5/18/2021 0:00,1994
EB40950389,8359 Iris St ,Oakland,94605,Alameda,8,1180,4921,95,1,3,1,0,7,2021,2021,549000,735000,5/18/2021 0:00,5/25/2021 0:00,1926
CC40950645,6109 Outlook Ave ,Oakland,94605,Alameda,8,1509,6148,82,1,2,1,0,2,2021,2021,789000,1015000,5/21/2021 0:00,5/23/2021 0:00,1939
ME221054436,3313 Gray Mare WAY ,Antelope,95843,Sacramento,4,2134,5663,32,3,4,3,0,5,2021,2021,487990,510000,5/19/2021 0:00,5/24/2021 0:00,1989
CRPW21109541,17542 Edgewood LN ,Yorba Linda,92886,Orange,2,4000,6748,18,4,4,3,1,4,2021,2021,1599000,1665000,5/21/2021 0:00,5/25/2021 0:00,2003
BA321053483,8 Turtle Rock CT ,Tiburon,94920,Marin,15,5028,27717,28,5,5,4,1,0,2021,2021,4575000,4725000,5/24/2021 0:00,5/24/2021 0:00,1993
CRNP21120269,2000 Port Ramsgate PL ,Newport Beach,92660,Orange,2,3261,7912,52,5,5,4,1,8,2021,2021,2750000,2650000,5/10/2021 0:00,5/18/2021 0:00,1969
ME221054165,1005 Arroyo Hondo Pl ,Modesto,95358,Stanislaus,12,1788,4791,29,2,4,2,0,6,2021,2021,390000,410000,5/19/2021 0:00,5/25/2021 0:00,1992
ML81844825,1280 Clearview DR ,Hollister,95023,San Benito,33,1801,6299,25,2,4,2,0,9,2021,2021,759900,786000,5/20/2021 0:00,5/29/2021 0:00,1996
BE40951303,939 Foothill Dr ,Daly City,94015,San Mateo,13,910,14965,73,1,2,1,0,4,2021,2021,888000,1135000,5/24/2021 0:00,5/28/2021 0:00,1948
ME202001848,1835 6th ST ,Oroville,95965,Butte,11,1116,17860,44,2,3,2,0,8,2020,2020,255000,262000,6/22/2020 0:00,6/30/2020 0:00,1977
CRPW21105736,3514 Josie AVE ,Long Beach,90808,Los Angeles,0,1477,5501,68,1,4,1,0,1,2021,2021,900000,900000,5/17/2021 0:00,5/18/2021 0:00,1953
CRIV21109552,37032 Old Mill Creek RD ,Mentone,92359,San Bernardino,3,794,8700,78,1,2,1,0,3,2021,2021,325000,330000,5/21/2021 0:00,5/24/2021 0:00,1943
CNSR21106053,14064 Fenton LN ,Sylmar,91342,Los Angeles,0,1268,329914,43,2,2,2,0,9,2021,2021,554500,580000,5/18/2021 0:00,5/27/2021 0:00,1978
EB40950994,1587 Rutherford Lane ,Oakley,94561,Contra Costa,6,1804,6500,31,2,3,2,0,8,2021,2021,550000,650000,5/21/2021 0:00,5/29/2021 0:00,1990
CNSR21101911,15351 Haynes ST ,Van Nuys,91406,Los Angeles,0,3500,10858,47,2,5,2,0,17,2021,2021,1995000,1950000,5/12/2021 0:00,5/29/2021 0:00,1974
CC40950567,17 Attri Ct ,Lafayette,94549,Contra Costa,6,2448,13939,57,3,5,3,0,0,2021,2021,1600000,1600000,5/19/2021 0:00,5/19/2021 0:00,1964
ME221053347,1058 Broken Spur WAY ,Plumas Lake,95961,Yuba,18,2072,10890,17,3,4,3,0,3,2021,2021,465000,500000,5/20/2021 0:00,5/23/2021 0:00,2004
CRPW21051843,1225 N Hazard AVE ,Los Angeles,90063,Los Angeles,0,1223,5663,84,1,2,1,0,13,2021,2021,550000,550000,3/10/2021 0:00,3/23/2021 0:00,1937
CROC21108604,27221 Calle Delgado ,San Juan Capistrano,92675,Orange,2,3190,9660,45,3,4,3,0,5,2021,2021,1500000,1565000,5/20/2021 0:00,5/25/2021 0:00,1976
CNSR21109220,10412 Windtree DR ,Los Angeles,90077,Los Angeles,0,3000,126862,43,4,4,3,1,0,2021,2021,1850000,1850000,3/6/2021 0:00,3/6/2021 0:00,1978
CRCV21119023,15456 SANDHURST ,Fontana,92336,San Bernardino,3,1350,6000,35,2,4,2,0,0,2021,2021,475000,480000,5/10/2021 0:00,5/10/2021 0:00,1986
TM21-723988,912 Avenue 57 ,Los Angeles,90042,Los Angeles,0,1114,5370,109,1,3,1,0,7,2021,2021,949000,1350000,5/20/2021 0:00,5/27/2021 0:00,1912
ME221045423,248 Chambers DR ,Lincoln,95648,Placer,9,1916,6909,21,2,3,2,0,4,2021,2021,525000,560000,5/20/2021 0:00,5/24/2021 0:00,2000
ME221058190,1624 Barn Valley LN ,Lincoln,95648,Placer,9,1791,7623,21,2,2,2,0,2,2021,2021,649900,720000,5/27/2021 0:00,5/29/2021 0:00,2000
CROC21108868,1863 Irvine AVE ,Newport Beach,92660,Orange,2,4099,17888,56,4,4,3,1,0,2021,2021,3000000,3000000,5/20/2021 0:00,5/20/2021 0:00,1965
ML81844930,7701 Wasabi WAY ,Gilroy,95020,Santa Clara,7,2132,3532,6,3,3,3,0,5,2021,2021,998000,1065000,5/20/2021 0:00,5/25/2021 0:00,2015
ME221052939,882 SAN ARDO WAY ,Mountain View,94043,Santa Clara,7,1692,5952,59,2,3,2,0,7,2021,2021,1595000,1702000,5/20/2021 0:00,5/27/2021 0:00,1962
ME221054397,1972 Amber Fields WAY ,Roseville,95747,Placer,9,1331,4208,19,3,3,2,1,6,2021,2021,495000,495000,5/19/2021 0:00,5/25/2021 0:00,2002
EB40950280,4310 Barrett Ave ,Richmond,94805,Contra Costa,6,2499,5000,79,3,5,3,0,2,2021,2021,799000,915000,5/17/2021 0:00,5/19/2021 0:00,1942
CRSB21129280,735 Lomita ST ,,90245,Los Angeles,0,1560,6562,73,2,3,2,0,426,2020,2021,1450000,1505000,2/14/2020 0:00,4/15/2021 0:00,1948
CRPI21110591,255 N 11th ST ,Grover Beach,93433,San Luis Obispo,14,750,5000,68,2,2,2,0,7,2021,2021,590000,620000,5/21/2021 0:00,5/28/2021 0:00,1953
CRSB21111235,360 Clemente AVE B36,Avalon,90704,Los Angeles,0,1218,46955,43,2,2,2,0,0,2021,2021,630000,630000,5/24/2021 0:00,5/24/2021 0:00,1978
CRPI21110177,801 W Elaine AVE ,Santa Maria,93458,Santa Barbara,31,2729,5227,6,3,4,3,0,5,2021,2021,565000,595000,5/21/2021 0:00,5/26/2021 0:00,2015
CNSR21109296,44116 Pagoda WAY ,Lancaster,93536,Los Angeles,0,1750,6534,1,2,4,2,0,8,2021,2021,470000,500000,5/20/2021 0:00,5/28/2021 0:00,2020
ME221055719,8558 Fairmont WAY ,Fair Oaks,95628,Sacramento,4,1560,12197,61,2,4,2,0,4,2021,2021,510000,565000,5/21/2021 0:00,5/25/2021 0:00,1960
BA321054683,138 Silverado Springs DR ,Napa,94558,Napa,30,2494,8489,31,2,3,2,0,13,2021,2021,1500000,1500000,3/24/2021 0:00,4/6/2021 0:00,1990
ME221053208,1018 California AVE ,Dos Palos,93620,Merced,22,1561,14810,60,2,3,2,0,7,2021,2021,380000,340000,5/18/2021 0:00,5/25/2021 0:00,1961
CROC21092635,24 Paseo Canos ,San Clemente,92673,Orange,2,2300,5083,13,3,3,2,1,18,2021,2021,1150000,1150000,5/1/2021 0:00,5/19/2021 0:00,2008
ML81844877,7245 Glenview DR ,San Jose,95120,Santa Clara,7,4077,36687,20,5,4,4,1,4,2021,2021,3150000,3300000,5/20/2021 0:00,5/24/2021 0:00,2001
ME221053244,1207 Waverton LN ,Lincoln,95648,Placer,9,2218,6177,15,3,4,2,1,8,2021,2021,515000,550000,5/20/2021 0:00,5/28/2021 0:00,2006
CC40950607,1828 Alvarado Ave ,Walnut Creek,94597,Contra Costa,6,1584,15678,70,2,3,1,1,8,2021,2021,999000,1205000,5/19/2021 0:00,5/27/2021 0:00,1951
ME221055150,3480 Gold Ridge TRL ,Pollock Pines,95726,El Dorado,19,1288,11326,27,2,3,2,0,2,2021,2021,399000,410000,5/23/2021 0:00,5/25/2021 0:00,1994
BE40951460,3381 Cheryl Ct ,Tracy,95376,San Joaquin,10,1817,6500,23,3,4,2,1,5,2021,2021,549000,545000,4/13/2021 0:00,4/18/2021 0:00,1998
ML81845358,1662 Ivy LN ,Tracy,95376,San Joaquin,10,2643,5500,0,3,5,3,0,3,2021,2021,799000,865000,5/22/2021 0:00,5/25/2021 0:00,2021
ME202100666,2771 Ivorty Mill 308 RD ,Elk Creek,95939,Glenn,41,1572,4411757,20,2,3,2,0,33,2021,2021,529000,450000,3/17/2021 0:00,4/19/2021 0:00,2001
CRPW21110568,5540 Camino Tecate ,Yorba Linda,92887,Orange,2,2600,7500,34,3,4,3,0,7,2021,2021,1125000,1190000,5/23/2021 0:00,5/30/2021 0:00,1987
CRPTP2103564,9362 E Heaney CIR ,Santee,92071,San Diego,5,1364,6900,61,2,3,2,0,0,2021,2021,477500,477500,3/10/2021 0:00,3/10/2021 0:00,1960
CRNDP2104666,1025 Angus CT ,San Marcos,92069,San Diego,5,1712,10300,46,3,4,2,1,29,2021,2021,729000,770000,4/29/2021 0:00,5/28/2021 0:00,1975
CRCV21106546,4312 Kathy AVE ,Riverside,92509,Riverside,1,1008,7405,63,2,3,1,1,8,2021,2021,425000,425000,5/19/2021 0:00,5/27/2021 0:00,1958
ME221053060,3433 Fairway DR ,Cameron Park,95682,El Dorado,19,1823,16988,44,2,3,2,0,3,2021,2021,575000,575000,5/21/2021 0:00,5/24/2021 0:00,1977
BA321041285,1707 Center RD ,Novato,94947,Marin,15,1329,7240,67,2,4,2,0,6,2021,2021,859000,915000,5/18/2021 0:00,5/24/2021 0:00,1954
ME221054609,2824 Vestrella DR ,Modesto,95356,Stanislaus,12,2726,6242,20,3,5,3,0,4,2021,2021,599000,650000,5/20/2021 0:00,5/24/2021 0:00,2001
CROC21106957,17090 La Vesu Rd ,Fontana,92337,San Bernardino,3,3099,6000,22,3,6,3,0,8,2021,2021,599000,610000,5/18/2021 0:00,5/26/2021 0:00,1999
CRPTP2103565,11 N S AVE ,National City,91950,San Diego,5,2482,5300,65,3,6,3,0,32,2021,2021,550000,500000,4/22/2021 0:00,5/24/2021 0:00,1956
CRND21106257,137 Canyon Creek WAY ,Oceanside,92057,San Diego,5,2150,5935,18,3,4,2,1,7,2021,2021,715000,845000,5/17/2021 0:00,5/24/2021 0:00,2003
