MLS_Number,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Age,Year_Built,DOM,Year_Sold,Year_List,Sale_Date,List_Price,Sale_Price
CROC21095003,Orange,2,1625,4140,2,2,2,0,7,2014,3,2021,2021,5/28/2021 0:00,899000,930000
CRTR21098395,Orange,2,1520,2000,4,2,1,1,44,1977,20,2021,2021,5/24/2021 0:00,596000,645000
CRSW21114737,Riverside,1,1834,6098,4,3,3,0,34,1987,3,2021,2021,5/30/2021 0:00,487500,511000
ML81844452,Monterey,24,2826,256568,3,3,3,0,34,1987,8,2021,2021,5/26/2021 0:00,734000,850000
CRNDP2105477,San Diego,5,3392,24000,5,3,3,0,60,1961,9,2021,2021,5/25/2021 0:00,2195000,2316000
ML81844976,San Mateo,13,1840,8200,4,3,2,1,55,1966,0,2021,2021,5/20/2021 0:00,2200000,2160000
CRSB21105644,Los Angeles,0,1130,3710,3,1,1,0,57,1964,6,2021,2021,5/26/2021 0:00,799000,950000
CROC21106460,Orange,2,2566,6006,4,3,3,0,15,2006,8,2021,2021,5/26/2021 0:00,1300000,1275000
CNSR21115246,Los Angeles,0,1836,11200,4,3,2,1,33,1988,1,2021,2021,5/28/2021 0:00,680000,680000
CRPTP2103304,San Diego,5,1573,6800,4,2,2,0,58,1963,8,2021,2021,5/20/2021 0:00,700000,700000
BA321025006,Sonoma,20,2128,6098,4,3,3,0,48,1973,0,2021,2021,5/27/2021 0:00,915000,925000
ML81845277,Santa Clara,7,3170,9010,4,3,3,0,17,2004,8,2021,2021,5/29/2021 0:00,2700000,2875000
CRPW21084729,Los Angeles,0,1832,6357,3,2,2,0,70,1951,19,2021,2021,5/26/2021 0:00,720000,720000
ME221055154,San Joaquin,10,1721,4750,3,2,2,0,2,2019,4,2021,2021,5/24/2021 0:00,499999,550000
CRNDP2105586,Riverside,1,1458,6098,4,3,2,1,33,1988,22,2021,2021,5/26/2021 0:00,510000,540000
ME202002380,Stanislaus,12,3454,5998,4,3,3,0,20,2001,33,2020,2020,9/11/2020 0:00,580000,560000
CREV21109075,San Bernardino,3,1168,14950,3,3,2,1,26,1995,3,2021,2021,5/24/2021 0:00,414900,420000
ME221054064,San Joaquin,10,2385,54450,3,2,2,0,33,1988,5,2021,2021,5/24/2021 0:00,1085000,1100000
ME221053947,Calaveras,39,2263,9583,3,3,3,0,22,1999,6,2021,2021,5/27/2021 0:00,750000,725000
ML81844996,Monterey,24,1687,10778,3,2,2,0,42,1979,10,2021,2021,5/30/2021 0:00,850000,830000
CRIV21111956,San Bernardino,3,1260,7740,3,2,2,0,32,1989,5,2021,2021,5/30/2021 0:00,489000,510000
CNSR21069603,Los Angeles,0,1457,7280,3,2,2,0,34,1987,10,2021,2021,5/25/2021 0:00,455000,480000
ME202101194,Sutter,23,1724,9148,3,2,2,0,40,1981,7,2021,2021,5/25/2021 0:00,429900,429900
ML81845753,Santa Cruz,25,1716,7971,3,3,2,1,30,1991,0,2021,2021,5/25/2021 0:00,799000,799000
CREV21111599,San Bernardino,3,1782,7500,4,3,3,0,15,2006,6,2021,2021,5/30/2021 0:00,425000,450000
