MLS_Number,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Age,Year_Built,DOM,Year_Sold,Year_List,Sale_Date,List_Price,Sale_Price
ME221035316,Yolo,26,3754,11761,4,4,3,1,28,1993,6,2021,2021,5/27/2021 0:00,1599000,1727000
ME202002238,Butte,11,1481,16988,3,1,1,0,92,1929,42,2020,2020,9/10/2020 0:00,210000,205000
CRFR21109447,Merced,22,2317,8411,3,2,2,0,19,2002,15,2021,2021,5/24/2021 0:00,549000,545000
ME221057117,Merced,22,2334,6578,4,3,2,1,15,2006,2,2021,2021,5/27/2021 0:00,445000,465000
ML81844970,Santa Clara,7,1955,7703,4,3,2,1,61,1960,7,2021,2021,5/27/2021 0:00,2298000,3100000
ML81844251,Santa Clara,7,2820,10960,4,4,3,1,69,1952,2,2021,2021,5/19/2021 0:00,4798000,4850000
ME221056045,Sacramento,4,1025,5227,3,1,1,0,67,1954,5,2021,2021,5/26/2021 0:00,340000,350000
CROC21098011,Orange,2,2558,6320,3,3,3,0,32,1989,7,2021,2021,5/24/2021 0:00,2299950,2299900
ML81844613,San Mateo,13,1160,5000,3,2,2,0,62,1959,0,2021,2021,5/17/2021 0:00,1385000,1385000
CRSW21093226,Riverside,1,2277,4792,4,3,3,0,8,2013,18,2021,2021,5/26/2021 0:00,540000,585000
TM21-731738,Los Angeles,0,3900,9289,5,6,5,1,0,2021,9,2021,2021,5/26/2021 0:00,4695000,4700000
CRSW21108426,Riverside,1,1260,10454,3,2,2,0,42,1979,8,2021,2021,5/28/2021 0:00,774900,765000
CROC21104609,Orange,2,2412,2938,3,4,3,1,21,2000,5,2021,2021,5/22/2021 0:00,1695000,1750000
CRIV21095523,Riverside,1,2403,21780,3,3,2,1,35,1986,20,2021,2021,5/24/2021 0:00,750000,759000
CRNDP2105864,San Diego,5,2329,6277,5,3,3,0,26,1995,2,2021,2021,5/26/2021 0:00,775000,800000
CREV21099807,Riverside,1,1216,3485,2,2,2,0,32,1989,1,2021,2021,5/26/2021 0:00,269500,275000
ME221052815,San Joaquin,10,2652,9065,5,3,3,0,20,2001,7,2021,2021,5/27/2021 0:00,858888,980000
ME221053574,San Joaquin,10,1867,4818,3,3,2,1,8,2013,6,2021,2021,5/26/2021 0:00,745000,800000
ME202002534,Shasta,37,1315,7841,3,2,2,0,23,1998,1,2020,2020,8/25/2020 0:00,299000,314000
EB40949537,Contra Costa,6,1519,5100,2,2,2,0,25,1996,6,2021,2021,5/30/2021 0:00,540000,575000
ML81844904,San Mateo,13,2500,6000,5,3,3,0,53,1968,8,2021,2021,5/28/2021 0:00,1450000,1690000
CRNDP2106147,San Diego,5,2972,4993,5,5,4,1,59,1962,109,2021,2021,5/28/2021 0:00,5565000,5200000
ME221044962,Nevada,27,1270,6058,3,2,2,0,47,1974,5,2021,2021,5/26/2021 0:00,510000,510000
ME221058026,Placer,9,3853,448668,3,4,4,0,18,2003,139,2021,2020,5/17/2021 0:00,899000,850000
CC40950605,Contra Costa,6,3454,11960,5,4,3,1,26,1995,7,2021,2021,5/26/2021 0:00,1250000,1400000
CRSB21108145,Los Angeles,0,1536,4011,3,3,2,1,41,1980,7,2021,2021,5/26/2021 0:00,1250000,1360000
ME221055475,Amador,34,1495,6098,3,2,2,0,33,1988,3,2021,2021,5/24/2021 0:00,465000,465000
ME221041441,Placer,9,1161,5924,2,2,2,0,21,2000,6,2021,2021,5/25/2021 0:00,440000,505000
CREV21106518,San Bernardino,3,1514,9500,3,1,1,0,85,1936,2,2021,2021,5/20/2021 0:00,699000,715000
CNSR21105860,Los Angeles,0,1879,6751,3,2,2,0,72,1949,10,2021,2021,5/27/2021 0:00,1099000,1170000
CRV1-5640,Ventura,17,1293,5600,4,1,1,0,66,1955,17,2021,2021,5/24/2021 0:00,875000,875000
ME221058271,Merced,22,1475,6321,3,2,2,0,16,2005,1,2021,2021,5/27/2021 0:00,315000,310000
CRIG21098473,Orange,2,1612,6000,3,2,2,0,44,1977,17,2021,2021,5/24/2021 0:00,939000,940000
CRSN21104782,Butte,11,1460,6534,2,2,2,0,75,1946,27,2021,2021,5/27/2021 0:00,349500,359500
BA321042674,Solano,16,2788,11413,4,3,3,0,14,2007,7,2021,2021,5/26/2021 0:00,850000,863000
CRSN21109247,Butte,11,1272,20038,3,2,2,0,56,1965,4,2021,2021,5/25/2021 0:00,389000,420000
CC40950379,Contra Costa,6,2897,28000,4,4,2,2,43,1978,7,2021,2021,5/25/2021 0:00,1795000,1900000
CRSW21100226,Riverside,1,1282,5667,3,2,2,0,34,1987,20,2021,2021,5/28/2021 0:00,459900,490000
ML81845408,Santa Clara,7,1705,7800,4,2,2,0,61,1960,5,2021,2021,5/27/2021 0:00,2490000,3000000
CRRS21108798,Los Angeles,0,3578,7036,6,5,4,1,50,1971,7,2021,2021,5/27/2021 0:00,1485000,1485000
CC40951307,Contra Costa,6,2486,91000,3,2,2,0,35,1986,0,2021,2021,5/24/2021 0:00,1632000,1632000
CNSR21098606,Los Angeles,0,1871,8417,4,3,2,1,26,1995,1,2021,2021,5/21/2021 0:00,470000,515000
CRRS21100038,Los Angeles,0,1617,5290,3,2,2,0,70,1951,0,2021,2021,5/17/2021 0:00,980000,980000
CRIV21106346,Riverside,1,2012,10454,4,1,1,0,49,1972,58,2021,2021,5/29/2021 0:00,580000,612000
ME221053081,Sacramento,4,1343,5306,2,2,2,0,28,1993,2,2021,2021,5/24/2021 0:00,390000,439500
BA321057730,Mendocino,35,1209,7000,3,1,1,0,35,1986,14,2021,2021,5/21/2021 0:00,457000,457000
ME221056501,Placer,9,1935,8925,2,2,2,0,16,2005,3,2021,2021,5/26/2021 0:00,659000,695000
CROC21112126,Orange,2,2388,6042,4,3,3,0,44,1977,5,2021,2021,5/30/2021 0:00,1089000,1160000
CNSR21111989,Los Angeles,0,1303,6390,3,3,3,0,33,1988,31,2021,2021,5/25/2021 0:00,348888,360000
ME221055876,Stanislaus,12,1194,12040,4,2,1,1,48,1973,4,2021,2021,5/25/2021 0:00,380000,400000
ML81844605,Santa Clara,7,2032,9219,3,2,2,0,66,1955,7,2021,2021,5/26/2021 0:00,1898000,2110000
ME221055500,Merced,22,1191,6037,3,2,2,0,22,1999,8,2021,2021,5/28/2021 0:00,369900,388000
CROC21105712,Riverside,1,2360,4792,5,3,3,0,18,2003,7,2021,2021,5/24/2021 0:00,460000,509000
CRSW21111990,Riverside,1,2050,7841,4,3,2,1,11,2010,1,2021,2021,5/25/2021 0:00,499900,500000
ME221053229,Placer,9,1894,6155,4,2,2,0,21,2000,6,2021,2021,5/24/2021 0:00,575000,622000
TM21-733444,San Bernardino,3,2337,7100,4,3,3,0,21,2000,9,2021,2021,5/27/2021 0:00,729999,840000
EB40950824,Contra Costa,6,1382,6900,3,3,2,1,29,1992,9,2021,2021,5/29/2021 0:00,589900,615000
CC40950808,Contra Costa,6,3672,55708,4,5,4,1,2,2019,6,2021,2021,5/26/2021 0:00,3795000,3800000
CRNDP2105190,San Diego,5,3009,29189,5,4,3,1,3,2018,14,2021,2021,5/25/2021 0:00,1049800,1050000
BE40950301,Alameda,8,1396,5928,3,2,2,0,51,1970,9,2021,2021,5/26/2021 0:00,1049000,1263000
ME202100583,Butte,11,2072,4356,5,2,2,0,109,1912,10,2021,2021,3/18/2021 0:00,309000,300000
CROC21106752,Orange,2,1417,3362,3,2,2,0,45,1976,0,2021,2021,5/17/2021 0:00,625000,625000
CNSR21108623,Kern,32,1823,9818,3,2,2,0,15,2006,6,2021,2021,5/25/2021 0:00,280000,315000
TM21-733778,Ventura,17,1544,3640,3,3,2,1,22,1999,8,2021,2021,5/26/2021 0:00,595900,645000
BA321054281,Sonoma,20,1088,5401,3,2,2,0,68,1953,1,2021,2021,3/25/2021 0:00,515000,515000
CNSR21102590,Los Angeles,0,1391,7559,3,2,2,0,64,1957,12,2021,2021,5/24/2021 0:00,769000,800000
BE40950883,Alameda,8,1738,6020,3,3,2,1,30,1991,5,2021,2021,5/25/2021 0:00,799000,890000
ML81845230,Santa Clara,7,3412,18417.17,4,4,3,1,136,1885,0,2021,2021,5/24/2021 0:00,3937000,4700000
CROC21033919,Orange,2,3611,7200,4,4,3,1,52,1969,0,2021,2021,5/5/2021 0:00,4750000,4750000
CRNDP2105420,San Diego,5,4040,13939.2,5,4,4,0,18,2003,11,2021,2021,5/27/2021 0:00,1650000,1800000
CRSW21107092,San Bernardino,3,1940,12400,3,2,2,0,85,1936,7,2021,2021,5/27/2021 0:00,304990,303500
ME221053740,Merced,22,1474,216275400,3,2,2,0,15,2006,5,2021,2021,5/26/2021 0:00,305000,330000
ML81845076,Santa Clara,7,1414,6319,3,2,2,0,64,1957,6,2021,2021,5/27/2021 0:00,2000000,2100000
ME221053474,Sacramento,4,2578,7270,5,3,3,0,31,1990,5,2021,2021,5/25/2021 0:00,590000,690000
ML81844277,San Benito,33,1350,6538,3,2,2,0,24,1997,10,2021,2021,5/27/2021 0:00,609000,675000
ML81844968,San Benito,33,2000,7420,3,3,2,1,33,1988,8,2021,2021,5/28/2021 0:00,699000,715000
CRSW21095358,Riverside,1,2684,7405,4,2,1,1,18,2003,19,2021,2021,5/23/2021 0:00,619000,650000
CRNP21100316,Los Angeles,0,1709,10396,4,2,2,0,52,1969,17,2021,2021,5/28/2021 0:00,1050000,1168000
CC40946718,Contra Costa,6,2100,6722,3,2,2,0,8,2013,6,2021,2021,5/25/2021 0:00,1399900,1621000
CRNP21101228,Orange,2,2586,5520,4,2,2,0,52,1969,15,2021,2021,5/27/2021 0:00,1395000,1549121
CC40950435,Contra Costa,6,1428,10880,3,2,2,0,67,1954,7,2021,2021,5/25/2021 0:00,1295000,1765000
CRSW21100209,Riverside,1,2687,8712,5,3,2,1,19,2002,11,2021,2021,5/28/2021 0:00,599900,610000
CROC21107113,Los Angeles,0,2352,5241,4,3,3,0,48,1973,9,2021,2021,5/28/2021 0:00,1079800,1100000
CNSR21105915,Los Angeles,0,2238,4739,4,3,3,0,13,2008,16,2021,2021,5/24/2021 0:00,750000,785000
ME221056578,Nevada,27,2300,19602,3,3,2,1,36,1985,3,2021,2021,5/27/2021 0:00,898000,975000
CRPW21110226,Orange,2,2059,4000,4,3,3,0,4,2017,4,2021,2021,5/26/2021 0:00,1350000,1350000
EB40950668,Contra Costa,6,1801,6611,3,2,2,0,16,2005,8,2021,2021,5/27/2021 0:00,700000,710000
BA321034948,Solano,16,1973,4604,4,3,2,1,19,2002,0,2021,2021,5/17/2021 0:00,575000,585000
ME221046395,Nevada,27,1399,45738,3,2,2,0,46,1975,0,2021,2021,5/28/2021 0:00,450000,432000
CRWS21106042,Los Angeles,0,2959,6325,5,4,4,0,27,1994,1,2021,2021,5/18/2021 0:00,780000,780000
EB40950389,Alameda,8,1180,4921,3,1,1,0,95,1926,7,2021,2021,5/25/2021 0:00,549000,735000
CC40950645,Alameda,8,1509,6148,2,1,1,0,82,1939,2,2021,2021,5/23/2021 0:00,789000,1015000
ME221054436,Sacramento,4,2134,5663,4,3,3,0,32,1989,5,2021,2021,5/24/2021 0:00,487990,510000
CRPW21109541,Orange,2,4000,6748,4,4,3,1,18,2003,4,2021,2021,5/25/2021 0:00,1599000,1665000
BA321053483,Marin,15,5028,27717,5,5,4,1,28,1993,0,2021,2021,5/24/2021 0:00,4575000,4725000
CRNP21120269,Orange,2,3261,7912,5,5,4,1,52,1969,8,2021,2021,5/18/2021 0:00,2750000,2650000
ME221054165,Stanislaus,12,1788,4791,4,2,2,0,29,1992,6,2021,2021,5/25/2021 0:00,390000,410000
ML81844825,San Benito,33,1801,6299,4,2,2,0,25,1996,9,2021,2021,5/29/2021 0:00,759900,786000
BE40951303,San Mateo,13,910,14965,2,1,1,0,73,1948,4,2021,2021,5/28/2021 0:00,888000,1135000
ME202001848,Butte,11,1116,17860,3,2,2,0,44,1977,8,2020,2020,6/30/2020 0:00,255000,262000
CRPW21105736,Los Angeles,0,1477,5501,4,1,1,0,68,1953,1,2021,2021,5/18/2021 0:00,900000,900000
CRIV21109552,San Bernardino,3,794,8700,2,1,1,0,78,1943,3,2021,2021,5/24/2021 0:00,325000,330000
CNSR21106053,Los Angeles,0,1268,329914,2,2,2,0,43,1978,9,2021,2021,5/27/2021 0:00,554500,580000
EB40950994,Contra Costa,6,1804,6500,3,2,2,0,31,1990,8,2021,2021,5/29/2021 0:00,550000,650000
CNSR21101911,Los Angeles,0,3500,10858,5,2,2,0,47,1974,17,2021,2021,5/29/2021 0:00,1995000,1950000
CC40950567,Contra Costa,6,2448,13939,5,3,3,0,57,1964,0,2021,2021,5/19/2021 0:00,1600000,1600000
ME221053347,Yuba,18,2072,10890,4,3,3,0,17,2004,3,2021,2021,5/23/2021 0:00,465000,500000
CRPW21051843,Los Angeles,0,1223,5663,2,1,1,0,84,1937,13,2021,2021,3/23/2021 0:00,550000,550000
CROC21108604,Orange,2,3190,9660,4,3,3,0,45,1976,5,2021,2021,5/25/2021 0:00,1500000,1565000
CNSR21109220,Los Angeles,0,3000,126862,4,4,3,1,43,1978,0,2021,2021,3/6/2021 0:00,1850000,1850000
CRCV21119023,San Bernardino,3,1350,6000,4,2,2,0,35,1986,0,2021,2021,5/10/2021 0:00,475000,480000
TM21-723988,Los Angeles,0,1114,5370,3,1,1,0,109,1912,7,2021,2021,5/27/2021 0:00,949000,1350000
ME221045423,Placer,9,1916,6909,3,2,2,0,21,2000,4,2021,2021,5/24/2021 0:00,525000,560000
ME221058190,Placer,9,1791,7623,2,2,2,0,21,2000,2,2021,2021,5/29/2021 0:00,649900,720000
CROC21108868,Orange,2,4099,17888,4,4,3,1,56,1965,0,2021,2021,5/20/2021 0:00,3000000,3000000
ML81844930,Santa Clara,7,2132,3532,3,3,3,0,6,2015,5,2021,2021,5/25/2021 0:00,998000,1065000
ME221052939,Santa Clara,7,1692,5952,3,2,2,0,59,1962,7,2021,2021,5/27/2021 0:00,1595000,1702000
ME221054397,Placer,9,1331,4208,3,3,2,1,19,2002,6,2021,2021,5/25/2021 0:00,495000,495000
EB40950280,Contra Costa,6,2499,5000,5,3,3,0,79,1942,2,2021,2021,5/19/2021 0:00,799000,915000
CRSB21129280,Los Angeles,0,1560,6562,3,2,2,0,73,1948,426,2021,2020,4/15/2021 0:00,1450000,1505000
CRPI21110591,San Luis Obispo,14,750,5000,2,2,2,0,68,1953,7,2021,2021,5/28/2021 0:00,590000,620000
CRSB21111235,Los Angeles,0,1218,46955,2,2,2,0,43,1978,0,2021,2021,5/24/2021 0:00,630000,630000
CRPI21110177,Santa Barbara,31,2729,5227,4,3,3,0,6,2015,5,2021,2021,5/26/2021 0:00,565000,595000
CNSR21109296,Los Angeles,0,1750,6534,4,2,2,0,1,2020,8,2021,2021,5/28/2021 0:00,470000,500000
ME221055719,Sacramento,4,1560,12197,4,2,2,0,61,1960,4,2021,2021,5/25/2021 0:00,510000,565000
BA321054683,Napa,30,2494,8489,3,2,2,0,31,1990,13,2021,2021,4/6/2021 0:00,1500000,1500000
ME221053208,Merced,22,1561,14810,3,2,2,0,60,1961,7,2021,2021,5/25/2021 0:00,380000,340000
CROC21092635,Orange,2,2300,5083,3,3,2,1,13,2008,18,2021,2021,5/19/2021 0:00,1150000,1150000
ML81844877,Santa Clara,7,4077,36687,4,5,4,1,20,2001,4,2021,2021,5/24/2021 0:00,3150000,3300000
ME221053244,Placer,9,2218,6177,4,3,2,1,15,2006,8,2021,2021,5/28/2021 0:00,515000,550000
CC40950607,Contra Costa,6,1584,15678,3,2,1,1,70,1951,8,2021,2021,5/27/2021 0:00,999000,1205000
ME221055150,El Dorado,19,1288,11326,3,2,2,0,27,1994,2,2021,2021,5/25/2021 0:00,399000,410000
BE40951460,San Joaquin,10,1817,6500,4,3,2,1,23,1998,5,2021,2021,4/18/2021 0:00,549000,545000
ML81845358,San Joaquin,10,2643,5500,5,3,3,0,0,2021,3,2021,2021,5/25/2021 0:00,799000,865000
ME202100666,Glenn,41,1572,4411757,3,2,2,0,20,2001,33,2021,2021,4/19/2021 0:00,529000,450000
CRPW21110568,Orange,2,2600,7500,4,3,3,0,34,1987,7,2021,2021,5/30/2021 0:00,1125000,1190000
CRPTP2103564,San Diego,5,1364,6900,3,2,2,0,61,1960,0,2021,2021,3/10/2021 0:00,477500,477500
CRNDP2104666,San Diego,5,1712,10300,4,3,2,1,46,1975,29,2021,2021,5/28/2021 0:00,729000,770000
CRCV21106546,Riverside,1,1008,7405,3,2,1,1,63,1958,8,2021,2021,5/27/2021 0:00,425000,425000
ME221053060,El Dorado,19,1823,16988,3,2,2,0,44,1977,3,2021,2021,5/24/2021 0:00,575000,575000
BA321041285,Marin,15,1329,7240,4,2,2,0,67,1954,6,2021,2021,5/24/2021 0:00,859000,915000
ME221054609,Stanislaus,12,2726,6242,5,3,3,0,20,2001,4,2021,2021,5/24/2021 0:00,599000,650000
CROC21106957,San Bernardino,3,3099,6000,6,3,3,0,22,1999,8,2021,2021,5/26/2021 0:00,599000,610000
CRPTP2103565,San Diego,5,2482,5300,6,3,3,0,65,1956,32,2021,2021,5/24/2021 0:00,550000,500000
CRND21106257,San Diego,5,2150,5935,4,3,2,1,18,2003,7,2021,2021,5/24/2021 0:00,715000,845000
CRJT21105353,San Bernardino,3,1765,20615,3,2,2,0,16,2005,11,2021,2021,5/28/2021 0:00,580000,595000
BE40950407,Alameda,8,1559,6000,3,2,2,0,54,1967,6,2021,2021,5/26/2021 0:00,849500,950000
CC40950373,Contra Costa,6,2140,10070,4,2,2,0,67,1954,8,2021,2021,5/26/2021 0:00,1595000,1800000
CRSW21109284,Riverside,1,1842,7841,4,3,2,1,33,1988,0,2021,2021,5/21/2021 0:00,499999,530000
CRNDP2105495,San Diego,5,1910,8100,3,1,1,0,43,1978,19,2021,2021,5/24/2021 0:00,1190000,1300000
ME221055618,Sacramento,4,2925,6747,4,4,3,1,10,2011,5,2021,2021,5/26/2021 0:00,665000,677000
ML81844577,San Joaquin,10,2356,7031,4,4,3,1,6,2015,7,2021,2021,5/26/2021 0:00,695000,825000
CRSB21107171,Los Angeles,0,1120,5311,3,2,2,0,65,1956,6,2021,2021,5/25/2021 0:00,1199000,1225000
ME221044981,San Joaquin,10,1655,6630,3,2,2,0,41,1980,5,2021,2021,5/25/2021 0:00,439000,460000
ME221051320,Sacramento,4,1788,20038,3,3,2,1,36,1985,4,2021,2021,5/24/2021 0:00,515000,526000
CRIG21108529,Riverside,1,3450,10019,5,3,3,0,16,2005,4,2021,2021,5/23/2021 0:00,625000,735000
CRPTP2103414,San Diego,5,2472,5282,4,3,3,0,27,1994,45,2021,2021,5/24/2021 0:00,865000,865000
BA321035179,Napa,30,3307,673873,3,4,3,1,71,1950,8,2021,2021,5/25/2021 0:00,3495000,3495000
ME221053324,Sacramento,4,1134,5227,2,2,1,1,73,1948,6,2021,2021,5/27/2021 0:00,489000,535000
CROC21110732,Orange,2,1222,3420,2,2,2,0,36,1985,4,2021,2021,5/27/2021 0:00,749900,730000
BA321042074,Marin,15,1388,5998,2,2,2,0,74,1947,1,2021,2021,5/19/2021 0:00,1349000,1605000
CRMC21107802,Merced,22,1634,7405,2,2,2,0,83,1938,7,2021,2021,5/27/2021 0:00,389000,374000
ME221055724,Sacramento,4,1256,4792,3,2,2,0,75,1946,8,2021,2021,5/29/2021 0:00,270000,270000
CRPI21105873,San Luis Obispo,14,2181,8203,2,3,2,1,7,2014,5,2021,2021,5/24/2021 0:00,1150000,1150000
ML81844462,Contra Costa,6,1597,6820,3,2,2,0,48,1973,6,2021,2021,5/26/2021 0:00,548000,600000
ME221049406,Stanislaus,12,832,8320,2,1,1,0,69,1952,6,2021,2021,5/26/2021 0:00,295000,315000
BA321056915,Marin,15,1360,6508,3,2,2,0,64,1957,4,2021,2021,5/25/2021 0:00,2300000,2300000
ME221054181,Sacramento,4,2161,7841,3,3,2,1,56,1965,7,2021,2021,5/26/2021 0:00,585000,610000
BE40948381,Contra Costa,6,1459,6800,3,2,2,0,42,1979,5,2021,2021,5/25/2021 0:00,798000,903000
CNSR21102362,Los Angeles,0,3560,17711,4,3,2,1,71,1950,11,2021,2021,5/24/2021 0:00,2299000,2600000
ML81844545,Monterey,24,2348,65340,4,3,2,1,57,1964,1,2021,2021,5/17/2021 0:00,3150000,3150000
CRIV21107049,Riverside,1,3153,7405,4,3,3,0,17,2004,5,2021,2021,5/23/2021 0:00,799000,875000
CREV21107026,San Bernardino,3,1740,5290,4,2,2,0,42,1979,2,2021,2021,5/20/2021 0:00,379900,400000
CNSR21105945,Los Angeles,0,1894,7601,3,2,2,0,63,1958,2,2021,2021,5/20/2021 0:00,975000,1060000
CRCV21092298,Los Angeles,0,1241,7168,3,2,2,0,66,1955,31,2021,2021,5/30/2021 0:00,669900,715000
ML81846280,Santa Clara,7,2008,8391,4,3,2,1,48,1973,0,2021,2021,5/28/2021 0:00,1450000,1505000
ML81844895,Santa Clara,7,2555,7500,3,3,2,1,25,1996,2,2021,2021,5/22/2021 0:00,2898000,3100000
CRIV21089482,Riverside,1,2754,7405,4,3,2,1,34,1987,23,2021,2021,5/23/2021 0:00,600000,650000
CRV1-5982,Ventura,17,1840,8008,3,2,2,0,63,1958,28,2021,2021,5/28/2021 0:00,939900,945000
BA321045027,Marin,15,2321,17873,3,3,3,0,47,1974,31,2021,2021,4/6/2021 0:00,1899000,1910000
BE40956574,Alameda,8,1613,3300,4,2,2,0,98,1923,3,2021,2021,5/24/2021 0:00,1325000,1325000
CRPTP2103326,San Diego,5,1942,16604,4,2,2,0,58,1963,9,2021,2021,5/23/2021 0:00,1150000,1150000
ME221052959,Yolo,26,1260,7135,3,2,2,0,57,1964,8,2021,2021,5/25/2021 0:00,709000,750000
CRSW21108843,Riverside,1,1329,6970,3,2,2,0,32,1989,4,2021,2021,5/24/2021 0:00,455000,490000
CNSR21106882,Los Angeles,0,1614,4034,2,3,2,1,41,1980,9,2021,2021,5/28/2021 0:00,745000,785000
ME602147,Sutter,23,3080,60548,5,4,4,0,109,1912,49,2021,2021,4/30/2021 0:00,525000,489000
BA321046703,Solano,16,1900,5746,4,3,2,1,29,1992,0,2021,2021,5/28/2021 0:00,565000,565000
CROC21104925,Orange,2,620,6250,2,1,1,0,91,1930,8,2021,2021,5/24/2021 0:00,469000,550000
CRIV21101272,Riverside,1,1550,7405,4,2,2,0,30,1991,14,2021,2021,5/26/2021 0:00,520000,552500
BA321024324,Marin,15,4845,11565,5,6,5,1,120,1901,29,2021,2021,5/28/2021 0:00,4795000,5050000
CRPTP2103214,San Diego,5,1971,6285,4,3,3,0,36,1985,13,2021,2021,5/25/2021 0:00,729900,781000
CRSN21056943,Butte,11,1709,10019,3,2,2,0,54,1967,36,2021,2021,4/22/2021 0:00,427000,427000
CRSW21107130,Riverside,1,2508,43560,4,2,2,0,42,1979,2,2021,2021,5/21/2021 0:00,549900,589000
CRCV21109262,Riverside,1,2143,6098,3,3,3,0,17,2004,7,2021,2021,5/28/2021 0:00,435000,456000
ME221053010,Sacramento,4,1532,3223,2,2,2,0,5,2016,7,2021,2021,5/24/2021 0:00,449000,495000
CROC21109678,Orange,2,2650,9000,2,3,2,1,46,1975,6,2021,2021,5/27/2021 0:00,4498000,4950000
ME221031482,El Dorado,19,1804,10019,3,3,2,1,32,1989,5,2021,2021,5/25/2021 0:00,545000,619000
CRND21109444,San Diego,5,1437,6477,3,2,2,0,121,1900,4,2021,2021,5/24/2021 0:00,709000,800000
CRPI21104839,San Luis Obispo,14,1862,5850,4,3,3,0,60,1961,9,2021,2021,5/27/2021 0:00,725000,740000
CRPW21108682,Los Angeles,0,3386,4094,5,2,2,0,66,1955,20,2021,2021,5/23/2021 0:00,3900000,4300000
CNSR21105831,Los Angeles,0,2988,7703,4,3,3,0,16,2005,15,2021,2021,5/30/2021 0:00,499000,535000
CRSN21100599,Butte,11,1377,8276,3,2,2,0,32,1989,12,2021,2021,5/23/2021 0:00,399000,425000
CRIV21106265,Riverside,1,2232,4792,4,3,3,0,4,2017,8,2021,2021,5/26/2021 0:00,499000,525000
CRSW21107149,Riverside,1,2255,7000,4,3,2,1,16,2005,0,2021,2021,5/19/2021 0:00,500000,525000
BE40950887,Alameda,8,1786,6000,3,3,3,0,55,1966,6,2021,2021,5/26/2021 0:00,1050000,1260000
ME221053602,Placer,9,1406,7558,3,2,2,0,27,1994,9,2021,2021,5/28/2021 0:00,525000,525000
CRMB21111401,Los Angeles,0,863,3123,2,1,1,0,79,1942,5,2021,2021,5/29/2021 0:00,549000,530000
CRPW21099069,Orange,2,1867,6882,4,2,2,0,57,1964,4,2021,2021,5/26/2021 0:00,1025000,1150000
BA321044866,Solano,16,3208,16043,4,4,3,1,29,1992,1,2021,2021,5/28/2021 0:00,835000,905000
CRMD21126099,Madera,28,2246,8798,5,2,2,0,78,1943,5,2021,2021,4/29/2021 0:00,970000,900000
CRPI21106689,San Luis Obispo,14,1248,4750,3,2,2,0,41,1980,3,2021,2021,5/21/2021 0:00,425000,435000
ME221047872,Sacramento,4,2713,10855,3,4,3,1,16,2005,8,2021,2021,5/27/2021 0:00,710000,750000
CC40950510,Contra Costa,6,4123,115434,5,5,4,1,42,1979,8,2021,2021,5/27/2021 0:00,2565000,2815000
BA321045648,Sonoma,20,2717,10480,4,3,3,0,0,2021,0,2021,2021,5/26/2021 0:00,1349000,1349000
CC40951619,Contra Costa,6,2167,12160,4,3,2,1,53,1968,20,2021,2020,1/8/2021 0:00,1050000,1050000
CRSB21101570,Los Angeles,0,1898,6313,3,2,2,0,80,1941,8,2021,2021,5/27/2021 0:00,2495000,2601500
TM21-734856,Los Angeles,0,1518,11980,2,2,1,1,48,1973,0,2021,2021,5/21/2021 0:00,8000000,7803879
CRPW21068803,Orange,2,2608,24699,4,3,3,0,57,1964,39,2021,2021,5/10/2021 0:00,1400000,1450000
CNSR21105788,Los Angeles,0,1658,6850,3,2,2,0,71,1950,6,2021,2021,5/25/2021 0:00,1449000,1700000
CRV1-6066,Kern,32,2908,10454,4,4,3,1,48,1973,2,2021,2021,5/27/2021 0:00,340000,314000
ME221057963,San Joaquin,10,1255,6499,3,2,2,0,60,1961,1,2021,2021,5/27/2021 0:00,250000,245000
ME221052490,El Dorado,19,1724,130680,3,2,2,0,33,1988,8,2021,2021,5/25/2021 0:00,505000,510000
ML81844738,Santa Clara,7,1506,4492,3,2,2,0,72,1949,8,2021,2021,5/27/2021 0:00,899000,1060000
SF421553599,San Mateo,13,2218,3400,4,2,2,0,70,1951,8,2021,2021,5/26/2021 0:00,1299000,1405000
CC40951335,Contra Costa,6,2780,9490,5,3,3,0,30,1991,2,2021,2021,5/28/2021 0:00,1825000,2165000
BE40951886,Alameda,8,2727,9615,5,3,3,0,14,2007,0,2021,2021,5/28/2021 0:00,1375000,1500000
CRSC21109883,San Luis Obispo,14,2931,10534,4,4,3,1,18,2003,6,2021,2021,5/27/2021 0:00,1345000,1319000
ME201904207,Sutter,23,1080,13068,2,2,2,0,65,1956,253,2020,2019,9/1/2020 0:00,440000,260000
CRNDP2105638,San Diego,5,1072,4751,2,2,2,0,34,1987,12,2021,2021,5/26/2021 0:00,459000,490000
CROC21095700,Riverside,1,3388,99752,4,4,3,1,30,1991,25,2021,2021,5/27/2021 0:00,775000,775000
BA321047381,Solano,16,1014,6098,3,1,1,0,62,1959,0,2021,2021,5/7/2021 0:00,430000,430000
CRCV21079380,Los Angeles,0,4028,43018,4,4,4,0,61,1960,1,2021,2021,5/18/2021 0:00,1368000,1338000
CRLC21111973,Lake,29,760,5000,2,1,1,0,69,1952,0,2021,2021,5/25/2021 0:00,149000,130000
CC40950800,Contra Costa,6,1677,9800,4,2,2,0,58,1963,5,2021,2021,5/25/2021 0:00,1195000,1500000
