MLS_Number,Street_Address,City,Zip_Code,county,County_Index,SqFtTotal,Lot_Size,BedsTotal,BathsTotal,BathsFull,BathsHalf,Year_Built
ME221051935,2608 Esta AVE ,Modesto,95355,Stanislaus,12,2845,6599,4,3,3,0,2000
CRSB21104473,18913 Haas AVE ,Torrance,90504,Los Angeles,0,1605,5104,4,2,2,0,1951
CRNDP2105698,17349 Albert AVE ,San Diego,92127,San Diego,5,2901,5652,5,3,3,0,2006
BA321042550,518 Amber WAY ,Petaluma,94952,Sonoma,20,1756,9940,3,2,2,0,1976
ME221053608,1501 Radford LOOP ,El Dorado Hills,95762,El Dorado,19,2316,6970,4,3,3,0,2009
ME221037844,2593 King Richard DR ,El Dorado Hills,95762,El Dorado,19,2894,13939,4,4,3,1,1977
ME221049082,1773 Toby DR ,El Dorado Hills,95762,El Dorado,19,3172,7710,4,3,3,0,2001
CRMC21105114,2502 W Babcock CT ,Visalia,93291,Tulare,45,1684,12564,3,2,2,0,2004
CRWS21106978,1115 S Vega ST ,Alhambra,91801,Los Angeles,0,1655,6144,3,2,2,0,1948
ML81845301,14694 Berry WAY ,San Jose,95124,Santa Clara,7,2720,10877,4,3,3,0,1950
CC40950848,20 Maplewood ,Danville,94526,Contra Costa,6,4026,16120,5,4,3,1,1996
SF421551287,575 Valley ST ,San Francisco,94131,San Francisco,21,4120,2848,4,6,5,1,2003
CNSR21105944,11728 Monte Leon WAY ,,91326,Los Angeles,0,3511,9172,5,3,3,0,1977
CRCV21104541,12920 Evermay CT ,Rancho Cucamonga,91739,San Bernardino,3,3291,13990,4,3,3,0,2006
CRPW21108140,1257 Foxworth Ave. ,La Puente,91744,Los Angeles,0,1185,5970,3,1,1,0,1955
CNSR21105450,36549 Palomino CT ,Palmdale,93550,Los Angeles,0,1559,7247,3,2,2,0,2004
BA321035932,7407 Oakmont DR ,Santa Rosa,95409,Sonoma,20,1230,2400,2,2,2,0,1981
CRP1-4811,6346 N Vista ST ,San Gabriel,91775,Los Angeles,0,1562,4855,3,2,2,0,1959
CRCV21035146,558 E Hawthorne ST ,Ontario,91764,San Bernardino,3,1120,7448,3,2,2,0,1950
ML81844509,1474 Bryan AVE ,San Jose,95118,Santa Clara,7,1474,6051,4,2,2,0,1964
CRPW21103381,231 N Quail LN ,Orange,92869,Orange,2,2577,4680,4,3,2,1,1977
ME221049400,2140 Denali Park CT ,Newman,95360,Stanislaus,12,1565,6804,3,2,2,0,2003
CRFR21106527,1064 S 8th ST ,Fresno,93702,Fresno,36,656,5125,2,1,1,0,1924
CRBB21101099,3014 Longdale LN ,Los Angeles,90068,Los Angeles,0,2348,23538,4,1,1,0,1962
CRSW21100071,30515 Prairie Sun WAY ,Murrieta,92563,Riverside,1,2410,8276,4,3,2,1,2017
CRSB21108725,5803 Lemp AVE ,North Hollywood,91601,Los Angeles,0,1341,6751,3,1,1,0,1941
CC40950221,421 Buckeye St ,Vacaville,95688,Solano,16,984,5662,3,1,1,0,1956
CRDW21107410,6603 S St Andrews PL ,Los Angeles,90047,Los Angeles,0,892,2702,2,1,1,0,1926
CRPW21108925,1401 Virginia RD ,Fullerton,92831,Orange,2,1867,12075,4,1,1,0,1959
CRP1-4854,8920 Hayvenhurst AVE ,North Hills,91343,Los Angeles,0,1428,7801,4,1,1,0,1956
ME221052555,4412 Mesquite WAY ,Rocklin,95677,Placer,9,2674,6586,5,3,3,0,2020
ME221054615,5443 Rambler WAY ,Sacramento,95841,Sacramento,4,1485,7405,4,2,2,0,1957
CRCV21103596,13471 Bunker Hill PL ,Fontana,92336,San Bernardino,3,2530,4676,4,3,2,1,1999
CRIV21111057,18640 Gentian AVE ,Riverside,92508,Riverside,1,1892,41382,4,1,1,0,1977
ME221049127,700 Murray WAY ,Roseville,95678,Placer,9,2044,9953,3,3,2,1,1986
CREV21107393,217 E Fairway BLVD ,Big Bear City,92314,San Bernardino,3,1512,10000,3,1,1,0,1947
CRPTP2103411,840 Shadow Ridge Pl ,Chula Vista,91914,San Diego,5,3290,7009,4,5,4,1,2005
CREV21107067,1380 Orange AVE ,Beaumont,92223,Riverside,1,1276,14375,3,2,2,0,1957
ME221058239,5725 Guthrie Place ,Davis,95618,Yolo,26,3734,10454,6,4,4,0,2005
ME221055051,1617 Victoria DR ,Modesto,95351,Stanislaus,12,1145,8895,2,1,1,0,1945
CRSB21107949,226 Via Anita ,Redondo Beach,90277,Los Angeles,0,1413,7595,3,2,2,0,1954
ME221054035,3849 Arborhill WAY ,Sacramento,95834,Sacramento,4,1788,2583,3,3,2,1,2020
BA321034295,180 Grevillia DR ,Petaluma,94952,Sonoma,20,2575,7797,4,3,3,0,1994
TM21-727748,960 4Th AVE ,Los Angeles,90019,Los Angeles,0,2197,6748,5,3,3,0,1952
ME221043459,5732 Hollyhurst WAY ,Sacramento,95823,Sacramento,4,1265,12197,3,2,2,0,1966
CC40950063,642 Doolittle Way ,Antioch,94509,Contra Costa,6,1640,8100,3,2,2,0,1994
CRJT21106651,58427 Joshua LN ,Yucca Valley,92284,San Bernardino,3,1981,43560,3,3,2,1,1989
ME221047912,9300 Crossrail DR ,Wilton,95693,Sacramento,4,4400,116305,4,4,3,1,2005
ME221051725,17716 Almond Orchard WAY ,Lathrop,95330,San Joaquin,10,2423,6599,4,2,2,0,2005
CRSW21102173,32226 Beaver Creek LN ,Temecula,92592,Riverside,1,2968,6970,4,3,3,0,2009
ME221057143,952 Mills AVE ,Modesto,95350,Stanislaus,12,3108,10450,3,4,3,1,1954
CNSR21107846,11511 Simms AVE ,Inglewood,90303,Los Angeles,0,1176,6343,3,1,1,0,1947
CRIG21106851,2979 Mcdonald LN ,Corona,92881,Riverside,1,1559,4792,3,3,2,1,2001
ME202001084,550 E 10th ST ,Lincoln,95648,Placer,9,1381,7331,3,2,2,0,1997
ME221054570,5311 79th ST ,Sacramento,95820,Sacramento,4,1086,4791,3,1,1,0,1957
CROC21106189,31642 Jewel AVE ,Laguna Beach,92651,Orange,2,1694,3500,4,3,3,0,1930
CRIV21108658,16125 Via vista ,Desert Hot Springs,92240,Riverside,1,912,7841,2,1,1,0,1984
CRTR21108353,12771 Fig PL ,Chino,91710,San Bernardino,3,1624,7800,4,2,2,0,1974
ME221052574,1582 THREE RIVERS DR ,Marysville,95901,Yuba,18,2325,7840,5,3,3,0,2004
