zip_code,county
95616,Yolo
95341,Merced
95818,Sacramento
95618,Yolo
95632,Sacramento
95212,San Joaquin
95974,Butte
95340,Merced
95348,Merced
95930,Butte
96118,Sierra
96033,Shasta
95415,Mendocino
95041,Santa Cruz
95382,Stanislaus
95245,Calaveras
95679,Yolo
95822,Sacramento
95692,Yuba
96009,Lassen
96080,Tehama
95448,Sonoma
95073,Santa Cruz
95312,Merced
95008,Santa Clara
95366,San Joaquin
95439,Sonoma
95746,Placer
96027,Siskiyou
96132,Lassen
95319,Stanislaus
96101,Modoc
95631,Placer
95658,Placer
95936,Sierra
95949,Nevada
96145,Placer
96001,Shasta
96032,Siskiyou
96103,Plumas
96106,Plumas
95375,Tuolumne
95351,Stanislaus
96122,Plumas
96016,Shasta
96020,Plumas
96031,Siskiyou
95695,Yolo
95923,Plumas
96050,Siskiyou
96010,Trinity
96006,Modoc
96116,Modoc
96115,Modoc
96090,Tehama
95053,Santa Clara
95698,Yolo
96017,Shasta
95934,Plumas
96021,Tehama
96155,El Dorado
96076,Trinity
96062,Shasta
96057,Siskiyou
95728,Nevada
95816,Sacramento
96074,Tehama
95589,Humboldt
96007,Shasta
95821,Sacramento
95645,Sutter
95361,Stanislaus
95211,San Joaquin
95486,Sonoma
96146,Placer
95988,Glenn
95666,Amador
95914,Butte
95355,Stanislaus
96023,Siskiyou
96011,Shasta
96054,Modoc
96150,El Dorado
95379,Tuolumne
95563,Trinity
95126,Santa Clara
90605,Los Angeles
94530,Contra Costa
94546,Alameda
96130,Lassen
95388,Merced
95427,Mendocino
95443,Lake
96028,Shasta
95360,Stanislaus
96059,Tehama
94565,Contra Costa
95252,Calaveras
90018,Los Angeles
95226,Calaveras
95329,Tuolumne
96069,Shasta
95310,Tuolumne
95437,Mendocino
96140,Placer
95358,Stanislaus
95369,Merced
95386,Stanislaus
95338,Mariposa
95407,Sonoma
95134,Santa Clara
94575,Contra Costa
90277,Los Angeles
90732,Los Angeles
90405,Los Angeles
94087,Santa Clara
94116,San Francisco
94118,San Francisco
94306,Santa Clara
94552,Alameda
95251,Calaveras
96087,Shasta
95446,Sonoma
95333,Merced
95033,Santa Cruz
94108,San Francisco
94541,Alameda
94590,Solano
95376,San Joaquin
95429,Mendocino
95556,Humboldt
95660,Sacramento
96092,Tehama
90250,Los Angeles
90710,Los Angeles
94508,Napa
94515,Napa
95133,Santa Clara
95111,Santa Clara
95571,Humboldt
95758,Sacramento
95549,Humboldt
95568,Siskiyou
96094,Siskiyou
95626,Sacramento
95372,Tuolumne
96025,Siskiyou
95490,Mendocino
95601,Amador
95136,Santa Clara
95227,San Joaquin
95020,Santa Clara
95327,Tuolumne
95834,Sacramento
95542,Humboldt
95547,Humboldt
95838,Sacramento
95910,Sierra
96126,Sierra
96058,Siskiyou
95064,Santa Cruz
95125,Santa Clara
95023,San Benito
95035,Santa Clara
95240,San Joaquin
90290,Los Angeles
90706,Los Angeles
90254,Los Angeles
90079,Los Angeles
90831,Los Angeles
94043,Santa Clara
94074,San Mateo
96064,Siskiyou
95469,Mendocino
95007,Santa Cruz
96143,Placer
95132,Santa Clara
95224,Calaveras
95606,Yolo
95585,Mendocino
95461,Lake
96044,Siskiyou
96067,Siskiyou
95018,Santa Cruz
95110,Santa Clara
95318,Mariposa
95625,Solano
95651,El Dorado
95322,Merced
95466,Mendocino
95005,Santa Cruz
95951,Glenn
92583,Riverside
93657,Fresno
93432,San Luis Obispo
92257,Imperial
92243,Imperial
92356,San Bernardino
93563,Los Angeles
93662,Fresno
90504,Los Angeles
94702,Alameda
93648,Fresno
93610,Madera
95939,Glenn
92338,San Bernardino
92264,Riverside
92887,Orange
92327,San Bernardino
92070,San Diego
92242,San Bernardino
93244,Tulare
93460,Santa Barbara
93465,San Luis Obispo
93644,Madera
92128,San Diego
92105,San Diego
92683,Orange
92003,San Diego
92315,San Bernardino
94114,San Francisco
92591,Riverside
95525,Humboldt
91008,Los Angeles
92004,San Diego
91709,San Bernardino
91745,Los Angeles
91762,San Bernardino
94062,San Mateo
92386,San Bernardino
95459,Mendocino
91371,Los Angeles
92256,San Bernardino
92127,San Diego
92882,Riverside
92024,San Diego
92119,San Diego
92211,Riverside
92276,Riverside
93668,Fresno
93702,Fresno
95140,Santa Clara
92629,Orange
92649,Orange
92101,San Diego
92304,San Bernardino
95646,Amador
95966,Butte
94105,San Francisco
94603,Alameda
94923,Sonoma
94938,Marin
94586,Alameda
94601,Alameda
94404,San Mateo
94803,Contra Costa
94952,Sonoma
92835,Orange
95979,Colusa
95634,El Dorado
95937,Yolo
95664,El Dorado
95922,Yuba
94070,San Mateo
94134,San Francisco
95762,El Dorado
95231,San Joaquin
95247,Calaveras
95325,Mariposa
94121,San Francisco
94579,Alameda
92672,Orange
95123,Santa Clara
92277,San Bernardino
92252,San Bernardino
92384,Inyo
93635,Merced
93640,Fresno
94704,Alameda
93654,Fresno
93532,Los Angeles
93561,Kern
92227,Imperial
92071,San Diego
92201,Riverside
94020,San Mateo
93726,Fresno
91780,Los Angeles
92021,San Diego
92111,San Diego
92270,Riverside
92282,Riverside
92411,San Bernardino
90602,Los Angeles
90071,Los Angeles
94707,Alameda
93436,Santa Barbara
93202,Kings
93277,Tulare
93940,Monterey
90210,Los Angeles
90057,Los Angeles
93270,Tulare
94066,San Mateo
94086,Santa Clara
93420,San Luis Obispo
93591,Los Angeles
93501,Kern
93530,Inyo
93921,Monterey
90013,Los Angeles
90670,Los Angeles
90638,Los Angeles
90803,Los Angeles
90028,Los Angeles
90247,Los Angeles
92069,San Diego
92126,San Diego
90822,Los Angeles
93627,Fresno
90008,Los Angeles
90067,Los Angeles
93291,Tulare
93660,Fresno
93267,Tulare
93621,Fresno
90036,Los Angeles
90064,Los Angeles
93260,Tulare
93925,Monterey
93664,Fresno
93012,Ventura
93422,San Luis Obispo
90301,Los Angeles
90248,Los Angeles
90270,Los Angeles
90660,Los Angeles
90068,Los Angeles
94132,San Francisco
90746,Los Angeles
93616,Fresno
93667,Fresno
90061,Los Angeles
90034,Los Angeles
90807,Los Angeles
90019,Los Angeles
93307,Kern
94110,San Francisco
93546,Mono
93552,Los Angeles
93669,Madera
93651,Fresno
93612,Fresno
90016,Los Angeles
90806,Los Angeles
91763,San Bernardino
91741,Los Angeles
91750,Los Angeles
95573,Humboldt
91330,Los Angeles
91708,San Bernardino
92392,San Bernardino
92504,Riverside
92065,San Diego
91356,Los Angeles
91402,Los Angeles
92708,Orange
92108,San Diego
91403,Los Angeles
91377,Ventura
91765,Los Angeles
91746,Los Angeles
95526,Humboldt
91210,Los Angeles
92372,San Bernardino
92505,Riverside
92025,San Diego
92283,Imperial
92328,Inyo
91945,San Diego
91754,Los Angeles
91737,San Bernardino
91768,Los Angeles
90069,Los Angeles
90240,Los Angeles
90293,Los Angeles
92064,San Diego
93252,Kern
90744,Los Angeles
93454,Santa Barbara
93212,Kings
90017,Los Angeles
90401,Los Angeles
90066,Los Angeles
90037,Los Angeles
92130,San Diego
95960,Nevada
94578,Alameda
92563,Riverside
92408,San Bernardino
92625,Orange
92363,San Bernardino
91792,Los Angeles
91605,Los Angeles
94519,Contra Costa
94563,Contra Costa
92509,Riverside
92870,Orange
92106,San Diego
93553,Los Angeles
94553,Contra Costa
93241,Kern
93463,Santa Barbara
91362,Ventura
94606,Alameda
93035,Ventura
93203,Kern
93722,Fresno
93920,Monterey
93444,San Luis Obispo
93541,Mono
91203,Los Angeles
94609,Alameda
94937,Marin
93675,Fresno
93901,Monterey
93255,Kern
93927,Monterey
93208,Tulare
93622,Fresno
94595,Contra Costa
93067,Santa Barbara
93512,Mono
93437,Santa Barbara
93445,San Luis Obispo
93549,Inyo
94555,Alameda
94610,Alameda
90043,Los Angeles
95661,Placer
95837,Sacramento
95954,Butte
90039,Los Angeles
90058,Los Angeles
90014,Los Angeles
90044,Los Angeles
93060,Ventura
93554,Kern
93529,Mono
93562,San Bernardino
91010,Los Angeles
92116,San Diego
94608,Alameda
94931,Sonoma
93257,Tulare
93650,Fresno
93280,Kern
93954,Monterey
94946,Marin
94705,Alameda
93950,Monterey
93239,Kings
93453,San Luis Obispo
93955,Monterey
95452,Sonoma
94015,San Mateo
92389,Inyo
95501,Humboldt
95336,San Joaquin
95667,El Dorado
95682,El Dorado
95659,Sutter
95830,Sacramento
95928,Butte
95630,Sacramento
91208,Los Angeles
91361,Ventura
91040,Los Angeles
95823,Sacramento
95560,Humboldt
95920,Glenn
95669,Amador
93272,Tulare
92571,Riverside
95233,Calaveras
91007,Los Angeles
91755,Los Angeles
91801,Los Angeles
95524,Humboldt
95492,Sonoma
95257,Calaveras
92333,San Bernardino
92118,San Diego
92083,San Diego
92518,Riverside
92557,Riverside
92582,Riverside
92584,Riverside
91214,Los Angeles
91320,Ventura
91786,San Bernardino
95307,Stanislaus
95316,Stanislaus
95943,Glenn
94940,Marin
90640,Los Angeles
91350,Los Angeles
91601,Los Angeles
91352,Los Angeles
91101,Los Angeles
91776,Los Angeles
91911,San Diego
91963,San Diego
92398,San Bernardino
91042,Los Angeles
91301,Los Angeles
95552,Trinity
95662,Sacramento
94301,Santa Clara
95225,Calaveras
95389,Mariposa
95650,Placer
95987,Colusa
94040,Santa Clara
94506,Contra Costa
94509,Contra Costa
94542,Alameda
95012,Monterey
95365,Merced
95380,Stanislaus
95918,Yuba
95946,Nevada
92823,Orange
94939,Marin
92661,Orange
95991,Sutter
95045,San Benito
95385,Stanislaus
95472,Sonoma
95536,Humboldt
95624,Sacramento
95814,Sacramento
90045,Los Angeles
95032,Santa Clara
95060,Santa Cruz
90032,Los Angeles
94964,Marin
95694,Yolo
95917,Butte
95363,Stanislaus
94947,Marin
95066,Santa Cruz
95684,El Dorado
95819,Sacramento
95926,Butte
95326,Stanislaus
95356,Stanislaus
94028,San Mateo
94111,San Francisco
95688,Solano
94512,Solano
94583,Contra Costa
94901,Marin
94550,Alameda
95981,Yuba
95050,Santa Clara
95817,Sacramento
95938,Butte
95965,Butte
95337,San Joaquin
95383,Tuolumne
94801,Contra Costa
90026,Los Angeles
95002,Santa Clara
90230,Los Angeles
90266,Los Angeles
90005,Los Angeles
90004,Los Angeles
95514,Humboldt
95603,Placer
92310,San Bernardino
95670,Sacramento
95119,Santa Clara
90603,Los Angeles
90292,Los Angeles
90621,Orange
95977,Nevada
90808,Los Angeles
90802,Los Angeles
90805,Los Angeles
95497,Sonoma
95519,Humboldt
95607,Yolo
95203,San Joaquin
95612,Yolo
95747,Placer
95962,Yuba
90007,Los Angeles
90015,Los Angeles
90046,Los Angeles
95776,Yolo
95687,Solano
90604,Los Angeles
90020,Los Angeles
90222,Los Angeles
90650,Los Angeles
95431,Sonoma
95683,Sacramento
95675,Amador
95722,Placer
95916,Butte
95969,Butte
90502,Los Angeles
94304,Santa Clara
90263,Los Angeles
90220,Los Angeles
95462,Sonoma
95641,Sacramento
95903,Yuba
95941,Butte
95971,Plumas
90040,Los Angeles
95602,Placer
90006,Los Angeles
90047,Los Angeles
90049,Los Angeles
91607,Los Angeles
92262,Riverside
92612,Orange
92648,Orange
92373,San Bernardino
93013,Santa Barbara
92646,Orange
92879,Riverside
92337,San Bernardino
92653,Orange
92703,Orange
92833,Orange
92845,Orange
92841,Orange
92359,San Bernardino
92364,San Bernardino
92626,Orange
93022,Ventura
91201,Los Angeles
92860,Riverside
92347,San Bernardino
92339,San Bernardino
92614,Orange
91950,San Diego
91324,Los Angeles
91335,Los Angeles
94903,Marin
93033,Ventura
92259,Imperial
92832,Orange
92057,San Diego
92258,Riverside
92368,San Bernardino
93206,Kern
92230,Riverside
92254,Riverside
92342,San Bernardino
92309,San Bernardino
92341,San Bernardino
92692,Orange
93234,Fresno
92234,Riverside
92284,San Bernardino
95595,Trinity
92404,San Bernardino
92782,Orange
92655,Orange
92663,Orange
92268,San Bernardino
91701,San Bernardino
93249,Kern
91011,Los Angeles
92354,San Bernardino
92377,San Bernardino
92346,San Bernardino
93042,Ventura
91001,Los Angeles
93108,Santa Barbara
93652,Fresno
93592,San Bernardino
94850,Contra Costa
95046,Santa Clara
90025,Los Angeles
91722,Los Angeles
91784,San Bernardino
91342,Los Angeles
93103,Santa Barbara
93449,San Luis Obispo
93036,Ventura
91602,Los Angeles
94561,Contra Costa
94505,Contra Costa
94582,Contra Costa
94720,Alameda
95122,Santa Clara
91105,Los Angeles
91604,Los Angeles
91406,Los Angeles
91423,Los Angeles
91711,Los Angeles
91978,San Diego
93636,Madera
92233,Imperial
94551,Alameda
93611,Fresno
94021,San Mateo
94516,Contra Costa
94531,Contra Costa
91748,Los Angeles
91910,San Diego
93064,Ventura
93410,San Luis Obispo
93633,Tulare
93235,Tulare
93545,Inyo
92114,San Diego
92115,San Diego
92831,Orange
91343,Los Angeles
91355,Los Angeles
94930,Marin
93245,Kings
94585,Solano
94805,Contra Costa
94085,Santa Clara
91108,Los Angeles
91706,Los Angeles
91942,San Diego
93928,Monterey
94534,Solano
90201,Los Angeles
93224,Kern
93254,Santa Barbara
93238,Kern
93428,San Luis Obispo
93926,Monterey
94972,Sonoma
94128,San Mateo
92010,San Diego
92395,San Bernardino
92620,Orange
93285,Kern
90242,Los Angeles
94130,San Francisco
94804,Contra Costa
93402,San Luis Obispo
93240,Kern
93265,Tulare
93401,San Luis Obispo
93513,Inyo
93604,Madera
93614,Madera
90620,Orange
90713,Los Angeles
94971,Marin
94502,Alameda
94127,San Francisco
94549,Contra Costa
92694,Orange
93287,Kern
91791,Los Angeles
95521,Humboldt
95842,Sacramento
93446,San Luis Obispo
93266,Kings
93625,Fresno
92123,San Diego
94002,San Mateo
94019,San Mateo
92562,Riverside
92055,San Diego
93308,Kern
93251,Kern
92019,San Diego
93221,Tulare
93727,Fresno
92078,San Diego
94933,Marin
94030,San Mateo
94619,Alameda
93451,San Luis Obispo
93631,Fresno
93643,Madera
94115,San Francisco
94507,Contra Costa
92011,San Diego
92081,San Diego
92647,Orange
92014,San Diego
92239,Riverside
92394,San Bernardino
91302,Los Angeles
91901,San Diego
92507,Riverside
92548,Riverside
92677,Orange
92804,Orange
92231,Imperial
92275,Imperial
92332,San Bernardino
92026,San Diego
92561,Riverside
92844,Orange
92082,San Diego
92203,Riverside
92281,Imperial
93021,Ventura
93222,Kern
93242,Fresno
91902,San Diego
92567,Riverside
92662,Orange
92376,San Bernardino
92399,San Bernardino
92405,San Bernardino
93543,Los Angeles
92222,Imperial
92391,San Bernardino
93309,Kern
93230,Kings
93204,Kings
92139,San Diego
92173,San Diego
94107,San Francisco
94523,Contra Costa
94925,Marin
92657,Orange
93226,Kern
93109,Santa Barbara
94535,Solano
93630,Fresno
94109,San Francisco
94514,Contra Costa
94104,San Francisco
92704,Orange
92140,San Diego
92637,Orange
92545,Riverside
92316,San Bernardino
92324,San Bernardino
92410,San Bernardino
92311,San Bernardino
95013,Santa Clara
95317,Merced
95124,Santa Clara
95321,Tuolumne
95543,Del Norte
95558,Humboldt
95635,El Dorado
96055,Tehama
95620,Solano
95367,Stanislaus
95565,Humboldt
95691,Yolo
96065,Shasta
95421,Sonoma
95305,Tuolumne
95458,Lake
95545,Humboldt
96128,Lassen
95835,Sacramento
95864,Sacramento
95450,Sonoma
96052,Trinity
96113,Lassen
95724,Nevada
96097,Siskiyou
95915,Plumas
95116,Santa Clara
95693,Sacramento
95672,El Dorado
95587,Mendocino
95051,Santa Clara
95215,San Joaquin
95465,Sonoma
95232,Calaveras
95815,Sacramento
95677,Placer
96071,Shasta
96107,Mono
95627,Yolo
95655,Sacramento
95442,Sonoma
95445,Mendocino
96129,Plumas
95494,Mendocino
95062,Santa Cruz
95765,Placer
95554,Humboldt
95978,Butte
95562,Humboldt
95449,Mendocino
95460,Mendocino
95249,Calaveras
95713,Placer
95742,Sacramento
95121,Santa Clara
95831,Sacramento
96111,Nevada
95207,San Joaquin
96039,Siskiyou
96061,Tehama
96022,Tehama
95248,Calaveras
95304,San Joaquin
95757,Sacramento
96120,Alpine
96123,Lassen
95527,Trinity
95054,Santa Clara
95219,San Joaquin
95690,Sacramento
95699,Amador
96046,Trinity
96137,Plumas
96088,Shasta
95680,Sacramento
96056,Shasta
95220,San Joaquin
95638,Sacramento
95829,Sacramento
96019,Shasta
96108,Modoc
96117,Lassen
96110,Modoc
96093,Trinity
95833,Sacramento
96084,Shasta
96109,Lassen
96105,Plumas
96063,Tehama
95075,San Benito
95652,Sacramento
96086,Siskiyou
96075,Tehama
95610,Sacramento
95377,San Joaquin
95391,San Joaquin
95206,San Joaquin
95681,Placer
96049,Shasta
96047,Shasta
96091,Trinity
95467,Lake
96134,Modoc
95640,Amador
95686,San Joaquin
96135,Plumas
96002,Shasta
96041,Trinity
96104,Modoc
95553,Humboldt
95457,Lake
96142,El Dorado
90095,Los Angeles
90747,Los Angeles
94566,Alameda
94577,Alameda
94599,Napa
96073,Shasta
95345,Mariposa
95014,Santa Clara
95202,San Joaquin
90031,Los Angeles
94401,San Mateo
95453,Lake
95417,Mendocino
90035,Los Angeles
90606,Los Angeles
90742,Orange
90021,Los Angeles
90073,Los Angeles
95410,Mendocino
95354,Stanislaus
95364,Tuolumne
95488,Mendocino
95663,Placer
90703,Los Angeles
90280,Los Angeles
94122,San Francisco
94547,Contra Costa
95463,Mendocino
94611,Alameda
94587,Alameda
94025,San Mateo
91962,San Diego
93953,Monterey
94158,San Francisco
90029,Los Angeles
90090,Los Angeles
94526,Contra Costa
95254,Calaveras
95320,San Joaquin
95368,Stanislaus
95401,Sonoma
94131,San Francisco
95468,Mendocino
90245,Los Angeles
90302,Los Angeles
90503,Los Angeles
90059,Los Angeles
90743,Orange
90601,Los Angeles
90506,Los Angeles
95357,Stanislaus
95471,Sonoma
95426,Lake
95569,Humboldt
96141,Placer
95605,Yolo
96040,Shasta
95551,Humboldt
95135,Santa Clara
95303,Merced
95982,Sutter
96037,Siskiyou
96034,Siskiyou
95420,Mendocino
95131,Santa Clara
95374,Merced
95323,Stanislaus
95615,Sacramento
95961,Yuba
96015,Modoc
95665,Amador
95947,Plumas
95968,Butte
95984,Plumas
96038,Siskiyou
95653,Yolo
96068,Lassen
95313,Stanislaus
95404,Sonoma
95065,Santa Cruz
95223,Calaveras
95444,Sonoma
95148,Santa Clara
95428,Mendocino
95370,Tuolumne
96136,Lassen
95039,Monterey
96003,Shasta
90063,Los Angeles
90212,Los Angeles
90094,Los Angeles
90755,Los Angeles
94089,Santa Clara
94518,Contra Costa
94536,Alameda
95236,San Joaquin
95311,Mariposa
91205,Los Angeles
95511,Humboldt
95546,Humboldt
95222,Calaveras
96114,Lassen
96124,Sierra
96024,Trinity
90740,Orange
90089,Los Angeles
95432,Mendocino
95112,Santa Clara
95209,San Joaquin
96161,Nevada
93656,Fresno
93665,Merced
93706,Fresno
95623,El Dorado
92701,Orange
92706,Orange
92129,San Diego
92320,Riverside
92382,San Bernardino
92585,Riverside
90814,Los Angeles
93518,Kern
92109,San Diego
92241,Riverside
93906,Monterey
93015,Ventura
93223,Tulare
93292,Tulare
93908,Monterey
93710,Fresno
93905,Monterey
92121,San Diego
92249,Imperial
92110,San Diego
90631,Orange
93305,Kern
93313,Kern
93405,San Luis Obispo
95493,Lake
91316,Los Angeles
91387,Los Angeles
92806,Orange
92027,San Diego
94061,San Mateo
91731,Los Angeles
91917,San Diego
91326,Los Angeles
91739,San Bernardino
91740,Los Angeles
94559,Napa
92397,San Bernardino
95456,Mendocino
93705,Fresno
92335,San Bernardino
91752,Riverside
91744,Los Angeles
95464,Lake
91103,Los Angeles
92401,San Bernardino
92020,San Diego
92059,San Diego
93522,Inyo
93528,Kern
93010,Ventura
93117,Santa Barbara
93704,Fresno
94102,San Francisco
92530,Riverside
93653,Madera
94904,Marin
93725,Fresno
93441,Santa Barbara
93452,San Luis Obispo
93433,San Luis Obispo
93450,Monterey
93602,Fresno
95959,Nevada
95944,Sierra
95948,Butte
95953,Sutter
92260,Riverside
94010,San Mateo
94928,Sonoma
94945,Marin
94556,Contra Costa
95301,Merced
95324,Merced
95330,San Joaquin
95689,Amador
95246,Calaveras
95841,Sacramento
95334,Merced
94510,Solano
92602,Orange
93647,Tulare
92301,San Bernardino
92624,Orange
92210,Riverside
92267,San Bernardino
93646,Fresno
93624,Fresno
93551,Los Angeles
93605,Fresno
92107,San Diego
92251,Imperial
92266,Imperial
92305,San Bernardino
92595,Riverside
95570,Humboldt
93703,Fresno
93606,Fresno
93424,San Luis Obispo
93550,Los Angeles
93923,Monterey
92675,Orange
92808,Orange
92307,San Bernardino
92278,San Bernardino
90815,Los Angeles
94014,San Mateo
92691,Orange
92028,San Diego
94513,Contra Costa
92086,San Diego
93306,Kern
90716,Los Angeles
90731,Los Angeles
93505,Kern
93711,Fresno
93720,Fresno
93030,Ventura
93218,Tulare
95425,Sonoma
90065,Los Angeles
90402,Los Angeles
90012,Los Angeles
90221,Los Angeles
94929,Marin
93626,Fresno
93608,Fresno
93701,Fresno
93907,Monterey
93930,Monterey
93274,Tulare
90813,Los Angeles
90804,Los Angeles
90232,Los Angeles
94112,San Francisco
94533,Solano
93638,Madera
90001,Los Angeles
93526,Inyo
93924,Monterey
93933,Monterey
93634,Fresno
95422,Lake
90501,Los Angeles
90274,Los Angeles
94511,Contra Costa
93304,Kern
94065,San Mateo
93461,San Luis Obispo
93560,Kern
90404,Los Angeles
93276,Kern
90704,Los Angeles
90022,Los Angeles
93458,Santa Barbara
93536,Los Angeles
93609,Fresno
93728,Fresno
93673,Tulare
95409,Sonoma
90241,Los Angeles
90305,Los Angeles
90810,Los Angeles
90720,Orange
90041,Los Angeles
94538,Alameda
91759,San Bernardino
94520,Contra Costa
92506,Riverside
92679,Orange
92007,San Diego
92008,San Diego
91733,Los Angeles
91723,Los Angeles
91504,Los Angeles
91046,Los Angeles
92586,Riverside
92688,Orange
94080,San Mateo
91325,Los Angeles
92549,Riverside
91724,Los Angeles
92539,Riverside
92543,Riverside
91931,San Diego
91345,Los Angeles
94402,San Mateo
95454,Mendocino
92371,San Bernardino
92036,San Diego
91411,Los Angeles
92610,Orange
95548,Del Norte
90048,Los Angeles
95423,Lake
90275,Los Angeles
90723,Los Angeles
90717,Los Angeles
93263,Kern
95387,Stanislaus
95403,Sonoma
90745,Los Angeles
93040,Ventura
93110,Santa Barbara
93261,Tulare
93455,Santa Barbara
90712,Los Angeles
95204,San Joaquin
92236,Riverside
91436,Los Angeles
91501,Los Angeles
94580,Alameda
95555,Humboldt
91390,Los Angeles
91915,San Diego
92592,Riverside
92618,Orange
92843,Orange
92037,San Diego
91506,Los Angeles
94591,Solano
93960,Monterey
93531,Kern
93442,San Luis Obispo
94571,Solano
94703,Alameda
95628,Sacramento
94602,Alameda
93219,Tulare
93210,Fresno
93262,Tulare
93516,Kern
91364,Los Angeles
94576,Napa
93271,Tulare
94596,Contra Costa
94598,Contra Costa
94618,Alameda
93256,Tulare
93301,Kern
93105,Santa Barbara
93250,Kern
93615,Tulare
93268,Kern
94558,Napa
94038,San Mateo
92325,San Bernardino
92536,Riverside
93666,Tulare
92840,Orange
92056,San Diego
95832,Sacramento
95827,Sacramento
95945,Nevada
95128,Santa Clara
90272,Los Angeles
90077,Los Angeles
90002,Los Angeles
93066,Ventura
93620,Merced
93645,Madera
93527,Kern
91202,Los Angeles
91354,Los Angeles
94950,Marin
94922,Sonoma
93215,Kern
93243,Kern
93534,Los Angeles
94973,Marin
93721,Fresno
91340,Los Angeles
93065,Ventura
93225,Kern
93523,Kern
93514,Inyo
95720,El Dorado
92336,San Bernardino
91344,Los Angeles
91360,Ventura
95633,El Dorado
95668,Sutter
92113,San Diego
92060,San Diego
92508,Riverside
92883,Riverside
91311,Los Angeles
95629,Amador
95678,Placer
